Tipo,Materiale,Colore,Manica,Stagione
Dress,Polyester,White,Long Sleeve,"['Spring', 'Summer']"
Bottom,Corduroy,Mint Green,,"['Fall', 'Winter']"
Top,Cotton,Chocolate Brown,Long Sleeve,"['Spring', 'Fall']"
Top,Velvet,Burgundy,Long Sleeve,"['Fall', 'Winter']"
Bottom,Polyester,Black,,Summer
Top,Satin,Black,Long Sleeve,All
Dress,Polyester,White,Sleeveless,Summer
Dress,Lace,Navy Blue,Three Quarter Length Sleeve,"['Spring', 'Summer']"
Top,Cotton,Black,Sleeveless,Summer
Dress,Polyester,Blue,Long Sleeve,All
Dress,Polyester,Black and White,Short Sleeve,Summer
Top,Cotton,Multicolor,,Summer
Top,Cotton,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Velvet,Rusty Rose,Short Sleeve,"['Fall', 'Winter']"
Bottom,Polyester,Navy Blue,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Green,Sleeveless,Summer
Dress,Polyester,Grey,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Cotton,White,Cap Sleeve,Summer
Dress,Satin,Red,Sleeveless,Summer
Bottom,Polyester,"Pastel, Baby Pink",,Spring
Top,Rayon,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Glitter,"['Pastel', ' Baby Pink']",Long Sleeve,All
Top,Cotton,Dusty Pink,Long Sleeve,"['Spring', 'Summer']"
Top,Cotton,Mint Green,Short Sleeve,Summer
Bottom,Cotton,Multicolor,,Summer
Bottom,Cotton,Maroon,,Summer
Top,Polyester,Red,Short Sleeve,Summer
Bottom,Polyester,Army Green,,All
Top,Mesh,White,Short Sleeve,Summer
Top,Polyester,White,Long Sleeve,"['Spring', 'Summer']"
Bottom,PU Leather,Black,,All
Top,Cotton,Black,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,White,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Black and White,,Summer
Dress,Velvet,Chocolate Brown,Long Sleeve,"['Fall', 'Winter']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Cotton,Baby Pink,,Spring
Top,Polyester,Dusty Pink,Cap Sleeve,Summer
Bottom,Cotton,Maroon,,Summer
Dress,Cotton,Mint Green,Short Sleeve,"['Spring', 'Summer']"
Top,Polyester,Multicolor,Sleeveless,Summer
Dress,Polyester,Brown,Sleeveless,Summer
Top,Polyester,Rust Brown,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Apricot,Sleeveless,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Lime Green,,Summer
Top,Velvet,Black,,All
Top,Polyester,Black,Short Sleeve,Summer
Top,Polyester,Lilac Purple,Sleeveless,Summer
Dress,Polyester,Black and White,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,"Pastel, Baby Pink",,Spring
Bottom,Polyester,Black,,Summer
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Rayon,Dark Grey,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Dark Green,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Maroon,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Burnt Orange,,Summer
Dress,Mesh,White,Sleeveless,"['Spring', 'Fall']"
Top,Polyester,Burgundy,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Green,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Grey,Short Sleeve,Summer
Bottom,Polyester,Blue and White,,Summer
Top,Cotton,Royal Blue,Cap Sleeve,Summer
Top,Rayon,Redwood,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Navy Blue,Short Sleeve,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Watermelon Pink,Sleeveless,Summer
Top,Polyester,Khaki,,Summer
Bottom,Polyester,Dark Grey,,All
Bottom,Polyester,Black,,Summer
Dress,Cotton,"['Pastel', ' Baby Blue']",Sleeveless,Summer
Top,Polyester,Multicolor,,Summer
Dress,Cotton,Black,Short Sleeve,Summer
Dress,Polyester,Burgundy,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Pink,Sleeveless,Summer
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Bottom,Cotton,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Multicolor,,Summer
Bottom,Polyester,Multicolor,,Summer
Top,Polyester,Lilac Purple,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Maroon,Short Sleeve,Summer
Bottom,Chiffon,"Blue, Bright",,"['Spring', 'Summer']"
Top,Polyester,Royal Blue,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Yellow,Sleeveless,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Apricot,Long Sleeve,"['Spring', 'Fall']"
Bottom,PU Leather,Black,,All
Top,Polyester,Apricot,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Cadet Blue,Cap Sleeve,Summer
Top,Cotton,Lime Green,,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Polyester,White,Short Sleeve,Summer
Bottom,Corduroy,Chocolate Brown,,"['Fall', 'Winter']"
Bottom,Cotton Blends,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Multicolor,Cap Sleeve,Summer
Dress,Polyester,Burnt Orange,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Red,Short Sleeve,Summer
Top,Cotton,Multicolor,,Summer
Top,Polyester,Pink,Long Sleeve,Spring
Dress,Polyester,Black,Three Quarter Length Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Blue and White,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Dusty Blue,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Grey,Sleeveless,Summer
Top,Cotton,Pink,,Summer
Dress,Mesh,Apricot,Sleeveless,Summer
Bottom,Polyester,Lilac Purple,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,"['Red', ' Bright']",Sleeveless,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Rayon,Mocha Brown,,Summer
Top,Polyester,"['Pastel', ' Mint Green']",Sleeveless,Summer
Bottom,Corduroy,Brown,,"['Fall', 'Winter']"
Top,Polyester,Grey,Long Sleeve,"['Spring', 'Summer']"
Dress,Rayon,Rust Brown,Long Sleeve,"['Spring', 'Summer']"
Top,Cotton,Multicolor,Short Sleeve,Summer
Bottom,Corduroy,Black,,"['Fall', 'Winter']"
Bottom,Polyester,Beige,,"['Spring', 'Summer', 'Fall']"
Top,Satin,Baby Pink,Long Sleeve,Spring
Dress,Lace,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Velvet,Black,Sleeveless,All
Top,Rayon,Light Grey,,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Nylon,Khaki,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Burgundy,Sleeveless,Summer
Bottom,Polyester,Multicolor,,All
Dress,Corduroy,Navy Blue,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Dusty Pink,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Navy Blue,Three Quarter Length Sleeve,"['Spring', 'Summer']"
Top,Cotton,Dark Grey,,Summer
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Top,Polyester,Khaki,Short Sleeve,Summer
Dress,Cotton,Multicolor,Sleeveless,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Cotton,Light Grey,,All
Top,Polyester,Mint Blue,Short Sleeve,Summer
Top,Polyester,Navy Blue,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Multicolor,,Summer
Bottom,Nylon,Army Green,,All
Bottom,Polyester,Burgundy,,Summer
Dress,Polyester,Red,Short Sleeve,Summer
Bottom,Corduroy,Multicolor,,"['Fall', 'Winter']"
Dress,Polyester,Coffee Brown,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black,Short Sleeve,Summer
Top,Polyester,Beige,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Bottom,Polyester,Black,,All
Dress,Polyester,Navy Blue,Short Sleeve,Summer
Bottom,Polyester,White,,All
Bottom,Polyester,Beige,,All
Top,Cotton,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Purple,Long Sleeve,"['Spring', 'Fall']"
Top,Velvet,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Rayon,Black,,Summer
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Brown,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Grey,Long Sleeve,"['Spring', 'Fall']"
Bottom,,Light Grey,,All
Top,Polyester,Dark Grey,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Yellow,Sleeveless,Summer
Bottom,Polyester,Grey,,All
Bottom,Polyester,Multicolor,,Summer
Bottom,Polyester,Black and White,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Multicolor,,All
Dress,Velvet,Black,Long Sleeve,"['Fall', 'Winter']"
Bottom,Cotton,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Black,,Summer
Bottom,Polyester,Royal Blue,,Summer
Top,Cotton,Multicolor,,Summer
Top,Polyester,Gold,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Burgundy,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Grey,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Multicolor,,Summer
Bottom,Cotton,Black,,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer']"
Bottom,Cotton,Dusty Pink,,Summer
Top,Polyester,Multicolor,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Satin,"['Red', ' Neon']",Long Sleeve,"['Spring', 'Summer']"
Bottom,PU Leather,Chocolate Brown,,"['Fall', 'Winter']"
Bottom,Polyester,Blue,,Summer
Bottom,Polyester,Light Grey,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,White,Short Sleeve,Summer
Top,Polyester,"['Pastel', ' Baby Blue']",Long Sleeve,"['Spring', 'Summer']"
Bottom,Corduroy,Brown,,"['Fall', 'Winter']"
Top,Polyester,White,Short Sleeve,Summer
Dress,Polyester,Rust Brown,Sleeveless,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Short Sleeve,Summer
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Red,Short Sleeve,Summer
Bottom,Cotton,Medium Wash,,All
Dress,,"Bright, Navy Blue",Sleeveless,Summer
Bottom,Polyester,Grey,,
Top,Polyester,Multicolor,Cap Sleeve,Summer
Bottom,Polyester,Black and White,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Black and White,Short Sleeve,Summer
Dress,Cotton,Army Green,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,All
Top,Cotton,White,Sleeveless,Summer
Dress,Polyester,Multicolor,Long Sleeve,All
Bottom,Polyester,Navy Blue,,Summer
Top,Satin,Multicolor,Sleeveless,Summer
Dress,Satin,Mint Green,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Olive Green,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Redwood,Cap Sleeve,Summer
Top,Cotton,"['Pastel', ' Dusty Blue']",Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Dusty Blue,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Dusty Blue,,Summer
Bottom,,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,Summer
Top,Polyester,Pink,,Summer
Bottom,Polyester,Multicolor,,Summer
Top,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Navy Blue,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,"Neon, Orange",,Spring
Bottom,Corduroy,Dark Grey,,"['Fall', 'Winter']"
Top,Cotton,Blue,,Summer
Dress,Mesh,White,Sleeveless,Summer
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Apricot,Half Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Mint Green,Cap Sleeve,Summer
Dress,,Maroon,Short Sleeve,Summer
Top,Rayon,Army Green,Long Sleeve,"['Spring', 'Fall']"
Bottom,,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Dark Grey,,All
Top,Polyester,White,Three Quarter Length Sleeve,"['Spring', 'Fall']"
Bottom,Cotton,Black and White,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,Burgundy,Short Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Khaki,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Brown,Long Sleeve,"['Spring', 'Fall']"
Bottom,Corduroy,Brown,,"['Fall', 'Winter']"
Top,Polyester,Redwood,Short Sleeve,Summer
Bottom,Polyester,White,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,"['Pastel', ' Baby Pink']",Short Sleeve,Summer
Top,Polyester,Black,Long Sleeve,All
Bottom,Polyester,Black,,All
Dress,Polyester,Multicolor,Sleeveless,Summer
Dress,Polyester,Grey,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,"Pastel, Baby Pink",Half Sleeve,"['Spring', 'Summer']"
Dress,Cotton,Army Green,Short Sleeve,Summer
Dress,Polyester,Burgundy,,Summer
Dress,Polyester,Orange,Short Sleeve,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer']"
Bottom,PU Leather,Dark Green,,"['Fall', 'Winter']"
Top,Polyester,"['Pastel', ' Baby Pink']",Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,All
Bottom,Polyester,Mint Green,,All
Top,Polyester,Grey,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Yellow,Sleeveless,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Red,,"['Spring', 'Summer']"
Bottom,Polyester,Pink,,Summer
Top,Polyester,Black,Short Sleeve,Summer
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Black,Short Sleeve,Summer
Top,Corduroy,Multicolor,Long Sleeve,"['Fall', 'Winter']"
Dress,Mesh,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,"['Pastel', ' Baby Blue']",Sleeveless,Summer
Dress,Polyester,Black,Short Sleeve,Summer
Top,Cotton,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,White,Sleeveless,Summer
Bottom,Cotton,Grey,,"['Spring', 'Summer', 'Fall']"
Bottom,Velvet,Burgundy,,All
Top,Mesh,White,,Summer
Bottom,Polyester,Apricot,,Summer
Top,Polyester,Black,,Summer
Top,Cotton,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,Navy Blue,Short Sleeve,Summer
Dress,Polyester,Pink,Short Sleeve,Summer
Top,Polyester,Black,Short Sleeve,Summer
Dress,Polyester,Multicolor,Sleeveless,Summer
Top,Polyester,Blue,Cap Sleeve,Summer
Dress,Polyester,White,Sleeveless,Summer
Top,Rayon,Burnt Orange,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Burgundy,,"['Spring', 'Fall']"
Dress,Polyester,Dark Green,Three Quarter Length Sleeve,"['Spring', 'Fall']"
Bottom,,Black and White,,All
Dress,Polyester,Multicolor,Sleeveless,Summer
Dress,Cotton,Beige,Sleeveless,Summer
Dress,Cotton,Multicolor,Sleeveless,Summer
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Dress,Cotton,Rusty Rose,Cap Sleeve,Summer
Bottom,Polyester,Khaki,,All
Dress,Velvet,Dark Green,Long Sleeve,"['Fall', 'Winter']"
Bottom,Velvet,Navy Blue,,"['Fall', 'Winter']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Mesh,Black,Short Sleeve,Summer
Top,Cotton,Olive Green,Short Sleeve,Summer
Bottom,Corduroy,Khaki,,"['Fall', 'Winter']"
Bottom,Satin,Hot Pink,,Summer
Dress,Modal,Red Violet,Sleeveless,"['Spring', 'Summer']"
Top,Polyester,Dusty Pink,Cap Sleeve,Summer
Top,Cotton,Black,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,White,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Rust Brown,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Grey,Short Sleeve,Summer
Top,Polyester,Black,Short Sleeve,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Cotton,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer']"
Dress,Polyester,Baby Pink,Long Sleeve,Spring
Dress,Rayon,Black,Sleeveless,Summer
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Chocolate Brown,Long Sleeve,"['Spring', 'Summer']"
Dress,Cotton,Green,Cap Sleeve,Summer
Bottom,Nylon,Black,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Redwood,Short Sleeve,Summer
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Burgundy,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Dusty Blue,Long Sleeve,"['Spring', 'Fall']"
Top,Rayon,Rust Brown,,Summer
Dress,Polyester,White,Sleeveless,Summer
Bottom,Polyester,Khaki,,All
Bottom,Polyester,Burgundy,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Green,,Summer
Top,Polyester,Red,,Summer
Top,Polyester,Black,Half Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Black,Sleeveless,Summer
Top,Polyester,Brown,Long Sleeve,"['Spring', 'Summer']"
Top,Velvet,Black,,"['Fall', 'Winter']"
Bottom,Cotton,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Multicolor,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Dress,Satin,Burgundy,Long Sleeve,All
Dress,Cotton,Mint Green,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Dusty Pink,Short Sleeve,Summer
Top,Polyester,Dusty Pink,Short Sleeve,Summer
Top,Polyester,Rust Brown,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,White,Long Sleeve,"['Spring', 'Fall']"
Bottom,Suede,Baby Pink,,"['Fall', 'Winter']"
Bottom,Modal,Black,,"['Spring', 'Summer', 'Fall']"
Top,Cotton Blends,Rust Brown,Half Sleeve,Summer
Top,Polyester,Khaki,Long Sleeve,"['Spring', 'Fall']"
Dress,Velvet,Black,Long Sleeve,"['Fall', 'Winter']"
Top,Cotton,Multicolor,,Summer
Top,Polyester,Multicolor,,Summer
Dress,Polyester,Chocolate Brown,Long Sleeve,"['Spring', 'Summer']"
Dress,Cotton,"['Pastel', ' Mint Green']",Sleeveless,Summer
Dress,Polyester,Yellow,Sleeveless,Summer
Top,Cotton,Black,Short Sleeve,Summer
Dress,Cotton Blends,Yellow,Cap Sleeve,Summer
Bottom,Polyester,Camel,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,"['Pastel', ' Baby Pink']",Cap Sleeve,Summer
Dress,Polyester,Multicolor,Cap Sleeve,"['Spring', 'Summer']"
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Green,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Sleeveless,Summer
Dress,Cotton,Cadet Blue,Short Sleeve,Summer
Bottom,Polyester,Black,,All
Dress,Polyester,Light Grey,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black,,All
Top,Cotton,"['Red', ' Bright']",Short Sleeve,Summer
Top,Satin,Apricot,,All
Top,Polyester,Grey,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Dark Grey,,All
Dress,Polyester,Black,Short Sleeve,Summer
Dress,Polyester,Khaki,Long Sleeve,"['Spring', 'Fall']"
Dress,Lace,White,Three Quarter Length Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Lilac Purple,Sleeveless,"['Spring', 'Summer']"
Top,Polyester,Burgundy,Long Sleeve,"['Spring', 'Summer']"
Bottom,Corduroy,Dusty Pink,,"['Fall', 'Winter']"
Dress,Rayon,Multicolor,Sleeveless,Summer
Top,Lace,Black,,Summer
Bottom,Nylon,Navy Blue,,All
Dress,,Multicolor,Sleeveless,"['Spring', 'Fall']"
Top,Cotton,Black,Short Sleeve,Summer
Top,Cotton,White,,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,PU Leather,Black,Long Sleeve,All
Top,Polyester,Violet Purple,Long Sleeve,"['Spring', 'Fall']"
Bottom,Satin,Olive Green,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Apricot,Sleeveless,Summer
Dress,Polyester,Yellow,Short Sleeve,Summer
Top,Rayon,Black,,Summer
Dress,Polyester,Black,Sleeveless,Summer
Top,Polyester,Baby Pink,Short Sleeve,Summer
Bottom,Polyester,Black and White,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Black,Sleeveless,All
Bottom,Polyester,Khaki,,"['Spring', 'Summer', 'Fall']"
Bottom,Cotton,Blue,,Summer
Top,Satin,Baby Pink,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Black,Sleeveless,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Cotton,Army Green,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Dusty Blue,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Royal Blue,Sleeveless,Summer
Dress,Cotton,Red,Sleeveless,Summer
Dress,Polyester,Black,Cap Sleeve,Summer
Top,PU Leather,Maroon,,"['Fall', 'Winter']"
Top,Polyester,Multicolor,Short Sleeve,Summer
Bottom,Corduroy,Dusty Blue,,"['Fall', 'Winter']"
Bottom,Polyester,Multicolor,,Summer
Top,Rayon,White,,Summer
Bottom,Polyester,Multicolor,,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Velvet,Lime Green,Sleeveless,"['Fall', 'Winter']"
Dress,Glitter,Dark Green,Long Sleeve,All
Dress,Polyester,Royal Blue,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,White,Three Quarter Length Sleeve,"['Spring', 'Summer']"
Bottom,Cotton,Black,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Blue,Sleeveless,All
Top,Polyester,Lime Green,,Summer
Top,Metallic,Rust Brown,Long Sleeve,All
Top,Cotton,Multicolor,Short Sleeve,Summer
Bottom,Cotton,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,Nylon,Brown,,All
Top,Cotton,Lilac Purple,Long Sleeve,"['Spring', 'Summer']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Red,,Summer
Top,Polyester,Burgundy,Short Sleeve,Summer
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Grey,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Grey,,Summer
Dress,Polyester,Black and White,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Black,Sleeveless,Summer
Bottom,Cotton,Multicolor,,Summer
Bottom,Polyester,Multicolor,,All
Bottom,PU Leather,Black,,"['Spring', 'Summer', 'Fall']"
Bottom,PU Leather,White,,"['Fall', 'Winter']"
Dress,Polyester,Navy Blue,Short Sleeve,"['Spring', 'Summer']"
Bottom,,Brown,,"['Spring', 'Summer', 'Fall']"
Dress,Polyester,Green,Sleeveless,Summer
Dress,Velvet,Navy Blue,,"['Fall', 'Winter']"
Bottom,Cotton,White,,All
Bottom,Polyester,Red and White,,"['Spring', 'Summer', 'Fall']"
Top,Polyester,Red,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Multicolor,,Summer
Dress,Polyester,Multicolor,Long Sleeve,All
Bottom,Polyester,Black and White,,All
Top,Cotton,Black,Long Sleeve,"['Spring', 'Fall']"
Top,Cotton,White,,Summer
Bottom,Polyester,Black and White,,Summer
Dress,Cotton,Black and White,Cap Sleeve,Summer
Bottom,PU Leather,Black,,"['Fall', 'Winter']"
Top,Polyester,White,Long Sleeve,"['Spring', 'Summer']"
Dress,Cotton,"['Blue', ' Pastel']",Short Sleeve,Summer
Bottom,Polyester,Black,,"['Spring', 'Summer', 'Fall']"
Dress,,Black,Sleeveless,Summer
Top,Polyester,Lilac Purple,"['Short Sleeve', ' Half Sleeve']",Summer
Top,Cotton,Mint Green,,Summer
Dress,Polyester,Burgundy,Long Sleeve,"['Spring', 'Fall']"
Top,Polyester,Royal Blue,Cap Sleeve,Summer
Top,Polyester,Khaki,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Bottom,Polyester,Chocolate Brown,,"['Spring', 'Summer', 'Fall']"
Dress,Cotton,White,Short Sleeve,Summer
Bottom,Polyester,Khaki,,"['Spring', 'Summer', 'Fall']"
Top,Cotton,Coral Pink,Long Sleeve,Spring
Top,Polyester,Multicolor,,Summer
Top,Rayon,White,,Summer
Dress,Polyester,Multicolor,Short Sleeve,Summer
Top,Polyester,Multicolor,,Summer
Bottom,Cotton,Black and White,,Summer
Dress,Polyester,Apricot,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Multicolor,Long Sleeve,"['Spring', 'Summer']"
Bottom,Cotton,Dusty Pink,,All
Top,Rayon,Beige,,Summer
Top,Polyester,Black,Long Sleeve,"['Spring', 'Summer']"
Top,Polyester,Green,Short Sleeve,Summer
Top,Mesh,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Polyester,Multicolor,Long Sleeve,"['Spring', 'Fall']"
Dress,Mesh,Black,Short Sleeve,Summer
Top,Polyester,"['Blue', ' Pastel']",Short Sleeve,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Bottom,Cotton,Multicolor,,Summer
Bottom,Polyester,Multicolor,,"['Spring', 'Summer', 'Fall']"
Dress,Velvet,Maroon,Long Sleeve,"['Fall', 'Winter']"
Top,Polyester,Army Green,Long Sleeve,"['Spring', 'Fall']"
Bottom,Polyester,Black and White,,All
Dress,Polyester,Multicolor,Cap Sleeve,Summer
