Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese,Punteggio
poliestere,scuro,corta,primavera_estate,2022-06-17,pioggia,28.6,estate,giugno,23
poliestere,scuro,lunga,primavera_estate,2022-08-17,nuvoloso,30.1,estate,agosto,14
poliestere,chiaro,corta,estate,2022-09-10,pioggia,11.6,autunno,settembre,14
poliestere,colorato,corta,estate,2022-12-15,pioggia,2.1,inverno,dicembre,13
poliestere,scuro,lunga,estate,2022-02-07,soleggiato,4.3500000000000005,inverno,febbraio,23
poliestere,colorato,lunga,autunno,2022-11-17,pioggia,14.4,autunno,novembre,28
poliestere,scuro,lunga,autunno,2022-02-23,soleggiato,5.0,inverno,febbraio,27
poliestere,colorato,corta,estate,2022-06-29,soleggiato,28.8,estate,giugno,24
poliestere,colorato,corta,estate,2022-09-20,soleggiato,16.8,autunno,settembre,15
poliestere,scuro,corta,estate,2022-09-17,pioggia,14.95,autunno,settembre,14
poliestere,scuro,corta,estate,2022-07-11,nuvoloso,24.7,estate,luglio,23
poliestere,chiaro,lunga,estate,2022-05-31,pioggia,17.4,primavera,maggio,25
cotone,chiaro,lunga,autunno,2022-05-23,nuvoloso,22.15,primavera,maggio,22
poliestere,chiaro,lunga,autunno,2022-04-29,soleggiato,14.05,primavera,aprile,24
cotone,colorato,lunga,autunno,2022-05-09,pioggia,18.35,primavera,maggio,25
poliestere,chiaro,corta,estate,2022-12-24,nuvoloso,17.1,inverno,dicembre,15
poliestere,colorato,corta,estate,2022-07-24,soleggiato,32.35,estate,luglio,25
poliestere,chiaro,lunga,primavera_estate,2022-07-13,soleggiato,28.0,estate,luglio,22
poliestere,scuro,lunga,autunno,2022-05-03,pioggia,16.25,primavera,maggio,23
poliestere,chiaro,lunga,primavera_estate,2022-09-26,pioggia,7.75,autunno,settembre,24
poliestere,chiaro,lunga,primavera_estate,2022-03-03,nuvoloso,-2.75,primavera,marzo,28
poliestere,scuro,corta,estate,2022-08-10,soleggiato,27.9,estate,agosto,19
poliestere,scuro,corta,estate,2022-05-21,soleggiato,23.85,primavera,maggio,16
cotone,scuro,corta,estate,2022-09-07,pioggia,26.5,autunno,settembre,23
poliestere,colorato,corta,estate,2022-04-04,pioggia,8.45,primavera,aprile,17
poliestere,colorato,lunga,primavera_estate,2022-06-24,soleggiato,32.85,estate,giugno,14
cotone,scuro,lunga,estate,2022-01-15,soleggiato,8.5,inverno,gennaio,23
poliestere,colorato,lunga,autunno,2022-01-22,soleggiato,6.45,inverno,gennaio,27
cotone,chiaro,lunga,primavera_estate,2022-12-09,pioggia,4.95,inverno,dicembre,24
poliestere,scuro,lunga,primavera_estate,2022-06-27,soleggiato,26.85,estate,giugno,12
cotone,scuro,corta,estate,2022-09-03,soleggiato,26.35,autunno,settembre,18
poliestere,scuro,lunga,estate,2022-06-21,soleggiato,25.8,estate,giugno,13
raso,scuro,corta,estate,2022-04-11,nuvoloso,4.55,primavera,aprile,10
poliestere,scuro,lunga,primavera_estate,2022-01-31,pioggia,0.3,inverno,gennaio,24
poliestere,chiaro,lunga,estate,2022-04-16,pioggia,14.9,primavera,aprile,26
poliestere,chiaro,corta,estate,2022-03-28,soleggiato,13.7,primavera,marzo,18
poliestere,chiaro,lunga,estate,2022-08-03,soleggiato,30.05,estate,agosto,20
poliestere,colorato,corta,estate,2022-05-11,soleggiato,21.15,primavera,maggio,21
poliestere,scuro,lunga,autunno,2022-04-25,pioggia,12.9,primavera,aprile,24
poliestere,chiaro,lunga,estate,2022-07-30,pioggia,31.3,estate,luglio,15
poliestere,colorato,lunga,primavera_estate,2022-03-24,soleggiato,10.05,primavera,marzo,27
poliestere,chiaro,lunga,autunno,2022-04-22,pioggia,12.3,primavera,aprile,24
poliestere,scuro,lunga,autunno,2022-05-25,pioggia,22.6,primavera,maggio,19
poliestere,colorato,lunga,autunno,2022-11-12,nuvoloso,10.4,autunno,novembre,28
poliestere,scuro,lunga,autunno,2022-02-06,nuvoloso,6.25,inverno,febbraio,27
poliestere,chiaro,lunga,estate,2022-07-24,soleggiato,32.9,estate,luglio,20
raso,colorato,lunga,primavera,2022-01-01,soleggiato,5.55,inverno,gennaio,19
cotone,scuro,lunga,primavera_estate,2022-07-23,pioggia,31.7,estate,luglio,19
poliestere,chiaro,lunga,estate,2022-04-07,pioggia,2.8000000000000003,primavera,aprile,27
poliestere,scuro,lunga,primavera_estate,2022-09-09,pioggia,29.450000000000003,autunno,settembre,13
poliestere,scuro,lunga,primavera_estate,2022-08-21,pioggia,28.4,estate,agosto,17
poliestere,chiaro,lunga,primavera_estate,2022-08-05,soleggiato,30.6,estate,agosto,19
poliestere,scuro,lunga,autunno,2022-08-08,soleggiato,27.25,estate,agosto,9
poliestere,colorato,lunga,primavera_estate,2022-06-22,pioggia,28.7,estate,giugno,17
poliestere,colorato,lunga,estate,2022-08-07,pioggia,31.3,estate,agosto,15
poliestere,scuro,lunga,primavera,2022-02-01,pioggia,5.05,inverno,febbraio,25
poliestere,colorato,lunga,estate,2022-11-14,pioggia,14.95,autunno,novembre,22
velluto,scuro,lunga,all,2022-10-05,nuvoloso,23.700000000000003,autunno,ottobre,17
poliestere,colorato,lunga,estate,2022-07-28,soleggiato,26.2,estate,luglio,18
poliestere,scuro,lunga,primavera_estate,2022-06-02,soleggiato,23.3,estate,giugno,17
poliestere,colorato,lunga,autunno,2022-04-27,pioggia,2.8500000000000005,primavera,aprile,25
cotone,chiaro,lunga,primavera_estate,2022-05-15,nuvoloso,18.65,primavera,maggio,28
poliestere,chiaro,corta,estate,2022-03-10,soleggiato,-2.2,primavera,marzo,17
raso,scuro,lunga,estate,2022-10-21,soleggiato,19.05,autunno,ottobre,17
velluto,scuro,lunga,autunno_inverno,2022-04-01,pioggia,8.3,primavera,aprile,24
poliestere,colorato,corta,estate,2022-05-06,pioggia,15.35,primavera,maggio,19
poliestere,colorato,lunga,estate,2022-08-27,soleggiato,32.5,estate,agosto,15
poliestere,colorato,lunga,autunno,2022-09-10,pioggia,23.75,autunno,settembre,23
poliestere,colorato,corta,estate,2022-10-25,pioggia,9.55,autunno,ottobre,13
cotone,scuro,lunga,autunno,2022-12-05,pioggia,5.35,inverno,dicembre,27
poliestere,scuro,corta,estate,2022-06-24,pioggia,26.0,estate,giugno,24
cotone,colorato,lunga,primavera_estate,2022-08-16,pioggia,29.700000000000003,estate,agosto,22
cotone,scuro,corta,estate,2022-05-27,soleggiato,27.0,primavera,maggio,22
poliestere,scuro,lunga,estate,2022-07-04,soleggiato,32.85,estate,luglio,10
poliestere,chiaro,lunga,autunno,2022-01-17,pioggia,8.4,inverno,gennaio,27
poliestere,scuro,lunga,autunno,2022-04-16,soleggiato,14.95,primavera,aprile,24
poliestere,colorato,lunga,estate,2022-04-08,soleggiato,15.45,primavera,aprile,25
poliestere,chiaro,lunga,autunno,2022-06-18,pioggia,26.7,estate,giugno,14
poliestere,colorato,corta,estate,2022-08-18,pioggia,26.200000000000003,estate,agosto,24
poliestere,colorato,lunga,autunno,2022-02-01,soleggiato,2.4000000000000004,inverno,febbraio,27
poliestere,scuro,corta,estate,2022-06-25,soleggiato,27.3,estate,giugno,19
poliestere,colorato,lunga,estate,2022-09-02,soleggiato,20.5,autunno,settembre,17
poliestere,scuro,lunga,estate,2022-05-15,soleggiato,21.55,primavera,maggio,16
poliestere,chiaro,corta,estate,2022-10-13,pioggia,12.15,autunno,ottobre,14
raso,scuro,corta,estate,2022-09-03,pioggia,19.45,autunno,settembre,11
poliestere,scuro,lunga,autunno,2022-01-28,nuvoloso,2.4000000000000004,inverno,gennaio,27
poliestere,scuro,lunga,primavera_estate,2022-10-25,pioggia,14.3,autunno,ottobre,23
cotone,scuro,lunga,autunno,2022-10-03,soleggiato,20.05,autunno,ottobre,21
poliestere,colorato,lunga,primavera,2022-01-14,soleggiato,1.15,inverno,gennaio,25
poliestere,colorato,lunga,autunno,2022-08-08,pioggia,30.0,estate,agosto,11
poliestere,scuro,lunga,autunno,2022-07-01,soleggiato,28.8,estate,luglio,9
poliestere,scuro,lunga,primavera_estate,2022-09-16,pioggia,26.25,autunno,settembre,13
poliestere,scuro,lunga,autunno,2022-04-20,pioggia,14.3,primavera,aprile,24
poliestere,colorato,corta,estate,2022-02-12,nuvoloso,9.05,inverno,febbraio,13
poliestere,colorato,corta,estate,2022-04-13,soleggiato,13.75,primavera,aprile,18
poliestere,chiaro,lunga,primavera_estate,2022-07-30,soleggiato,36.3,estate,luglio,19
raso,colorato,lunga,estate,2022-09-03,pioggia,22.6,autunno,settembre,16
poliestere,chiaro,lunga,estate,2022-09-27,pioggia,13.25,autunno,settembre,22
poliestere,colorato,lunga,autunno,2022-01-30,soleggiato,0.0,inverno,gennaio,27
poliestere,chiaro,lunga,primavera_estate,2022-05-09,soleggiato,18.9,primavera,maggio,26
poliestere,scuro,corta,estate,2022-06-08,pioggia,20.2,estate,giugno,23
cotone,scuro,corta,estate,2022-07-29,pioggia,29.5,estate,luglio,29
cotone,scuro,lunga,primavera_estate,2022-01-31,nuvoloso,0.8999999999999999,inverno,gennaio,24
poliestere,colorato,lunga,estate,2022-05-26,soleggiato,25.55,primavera,maggio,16
raso,scuro,lunga,autunno,2022-09-03,soleggiato,24.8,autunno,settembre,17
poliestere,chiaro,corta,estate,2022-11-08,pioggia,11.9,autunno,novembre,14
raso,scuro,lunga,estate,2022-01-19,soleggiato,-0.2000000000000001,inverno,gennaio,16
cotone,chiaro,corta,estate,2022-08-15,soleggiato,33.15,estate,agosto,35
cotone,scuro,lunga,autunno,2022-03-11,soleggiato,3.85,primavera,marzo,25
poliestere,scuro,lunga,estate,2022-04-12,soleggiato,10.4,primavera,aprile,26
cotone,scuro,lunga,estate,2022-02-23,soleggiato,6.05,inverno,febbraio,23
poliestere,scuro,lunga,autunno,2022-06-01,nuvoloso,24.5,estate,giugno,19
poliestere,scuro,lunga,estate,2022-06-07,soleggiato,30.0,estate,giugno,10
poliestere,colorato,lunga,autunno,2022-10-29,soleggiato,17.25,autunno,ottobre,27
poliestere,scuro,corta,estate,2022-09-26,pioggia,19.700000000000003,autunno,settembre,15
poliestere,colorato,corta,estate,2022-01-16,soleggiato,5.800000000000001,inverno,gennaio,13
poliestere,chiaro,lunga,primavera_estate,2022-01-20,nuvoloso,-0.5,inverno,gennaio,24
poliestere,colorato,corta,estate,2022-07-07,pioggia,27.4,estate,luglio,24
poliestere,colorato,lunga,autunno,2022-12-23,nuvoloso,6.45,inverno,dicembre,27
cotone,scuro,corta,estate,2022-02-21,neve,3.3000000000000003,inverno,febbraio,13
poliestere,scuro,lunga,primavera_estate,2022-05-06,pioggia,15.2,primavera,maggio,26
cotone,scuro,corta,estate,2022-06-22,pioggia,30.05,estate,giugno,30
poliestere,colorato,lunga,estate,2022-06-10,pioggia,20.25,estate,giugno,23
velluto,scuro,corta,all,2022-10-18,soleggiato,19.05,autunno,ottobre,15
poliestere,chiaro,corta,estate,2022-07-07,pioggia,13.95,estate,luglio,20
cotone,scuro,lunga,autunno,2022-02-09,soleggiato,5.45,inverno,febbraio,27
poliestere,scuro,lunga,autunno,2022-10-09,pioggia,17.7,autunno,ottobre,27
cotone,colorato,corta,estate,2022-03-18,neve,7.65,primavera,marzo,17
poliestere,scuro,lunga,primavera_estate,2022-11-16,pioggia,9.5,autunno,novembre,24
poliestere,chiaro,lunga,primavera_estate,2022-10-13,pioggia,17.4,autunno,ottobre,22
poliestere,scuro,lunga,primavera_estate,2022-06-05,pioggia,27.3,estate,giugno,17
poliestere,scuro,lunga,estate,2022-11-14,pioggia,8.9,autunno,novembre,23
raso,scuro,lunga,autunno,2022-08-31,pioggia,22.9,estate,agosto,18
cotone,chiaro,lunga,autunno,2022-05-14,nuvoloso,20.450000000000003,primavera,maggio,22
poliestere,colorato,lunga,primavera_estate,2022-06-15,soleggiato,26.8,estate,giugno,17
poliestere,scuro,lunga,primavera_estate,2022-01-05,neve,-3.5,inverno,gennaio,24
poliestere,scuro,corta,estate,2022-10-20,soleggiato,17.8,autunno,ottobre,15
cotone,colorato,lunga,primavera,2022-06-25,soleggiato,27.950000000000003,estate,giugno,21
poliestere,chiaro,lunga,primavera_estate,2022-08-01,pioggia,26.450000000000003,estate,agosto,17
cotone,scuro,lunga,primavera_estate,2022-05-22,nuvoloso,20.75,primavera,maggio,25
cotone,scuro,lunga,autunno,2022-10-17,soleggiato,18.95,autunno,ottobre,29
poliestere,scuro,lunga,autunno,2022-05-30,pioggia,13.5,primavera,maggio,24
cotone,scuro,lunga,autunno,2022-10-30,soleggiato,17.85,autunno,ottobre,29
poliestere,colorato,lunga,autunno,2022-03-31,pioggia,8.7,primavera,marzo,25
poliestere,scuro,lunga,primavera_estate,2022-09-02,pioggia,13.15,autunno,settembre,23
poliestere,colorato,lunga,autunno,2022-05-18,pioggia,24.0,primavera,maggio,19
poliestere,colorato,lunga,estate,2022-11-21,neve,-1.8000000000000005,autunno,novembre,23
poliestere,colorato,lunga,primavera_estate,2022-04-28,soleggiato,13.45,primavera,aprile,27
poliestere,chiaro,corta,estate,2022-09-15,pioggia,27.3,autunno,settembre,18
cotone,scuro,corta,estate,2022-03-05,pioggia,3.75,primavera,marzo,17
velluto,scuro,lunga,autunno_inverno,2022-10-06,soleggiato,18.950000000000003,autunno,ottobre,23
poliestere,colorato,lunga,estate,2022-05-07,pioggia,15.85,primavera,maggio,25
poliestere,colorato,lunga,autunno,2022-08-03,soleggiato,27.0,estate,agosto,14
cotone,scuro,lunga,estate,2022-06-08,soleggiato,29.45,estate,giugno,18
poliestere,colorato,corta,estate,2022-04-06,pioggia,7.45,primavera,aprile,17
poliestere,colorato,lunga,primavera_estate,2022-11-13,pioggia,4.15,autunno,novembre,24
poliestere,chiaro,lunga,estate,2022-03-01,soleggiato,0.1999999999999999,primavera,marzo,27
poliestere,scuro,lunga,primavera_estate,2022-04-01,pioggia,7.5,primavera,aprile,28
poliestere,colorato,lunga,autunno,2022-06-14,pioggia,26.9,estate,giugno,14
cotone,colorato,lunga,autunno,2022-02-26,pioggia,4.0,inverno,febbraio,27
poliestere,chiaro,lunga,primavera_estate,2022-12-01,nuvoloso,3.45,inverno,dicembre,24
poliestere,scuro,lunga,estate,2022-05-20,pioggia,14.95,primavera,maggio,26
poliestere,chiaro,corta,estate,2022-03-16,soleggiato,9.25,primavera,marzo,17
poliestere,scuro,lunga,primavera_estate,2022-04-16,pioggia,14.25,primavera,aprile,27
poliestere,chiaro,lunga,estate,2022-11-15,pioggia,7.949999999999999,autunno,novembre,23
poliestere,scuro,lunga,autunno,2022-08-20,pioggia,23.35,estate,agosto,19
cotone,scuro,lunga,primavera_estate,2022-10-31,soleggiato,17.2,autunno,ottobre,24
poliestere,scuro,corta,estate,2022-12-10,pioggia,5.85,inverno,dicembre,13
poliestere,scuro,lunga,autunno,2022-05-25,soleggiato,25.55,primavera,maggio,9
cotone,chiaro,lunga,primavera_estate,2022-12-20,nuvoloso,7.7,inverno,dicembre,24
poliestere,scuro,lunga,primavera_estate,2022-01-12,soleggiato,3.0,inverno,gennaio,24
poliestere,colorato,corta,estate,2022-01-16,nuvoloso,2.45,inverno,gennaio,13
poliestere,scuro,lunga,autunno,2022-11-22,pioggia,5.4,autunno,novembre,29
poliestere,colorato,corta,estate,2022-08-08,pioggia,28.1,estate,agosto,24
poliestere,colorato,lunga,primavera,2022-04-19,soleggiato,9.25,primavera,aprile,29
poliestere,colorato,lunga,estate,2022-06-05,pioggia,25.3,estate,giugno,18
cotone,scuro,corta,estate,2022-09-20,soleggiato,20.25,autunno,settembre,15
cotone,colorato,lunga,autunno,2022-12-21,nuvoloso,8.1,inverno,dicembre,27
velluto,scuro,lunga,all,2022-07-17,pioggia,25.85,estate,luglio,13
cotone,colorato,lunga,estate,2022-01-14,nuvoloso,-0.1,inverno,gennaio,23
cotone,scuro,lunga,estate,2022-07-27,pioggia,25.9,estate,luglio,23
raso,scuro,lunga,primavera_estate,2022-11-05,pioggia,11.95,autunno,novembre,18
poliestere,colorato,lunga,autunno,2022-03-15,neve,6.15,primavera,marzo,25
poliestere,scuro,lunga,primavera_estate,2022-09-30,neve,10.55,autunno,settembre,23
cotone,chiaro,corta,estate,2022-11-28,pioggia,7.05,autunno,novembre,13
poliestere,chiaro,lunga,estate,2022-03-05,soleggiato,0.9500000000000002,primavera,marzo,27
poliestere,colorato,lunga,estate,2022-03-17,soleggiato,11.2,primavera,marzo,26
poliestere,colorato,corta,estate,2022-12-15,pioggia,9.6,inverno,dicembre,13
cotone,scuro,lunga,primavera_estate,2022-11-30,nuvoloso,3.65,autunno,novembre,24
cotone,chiaro,corta,estate,2022-05-26,pioggia,24.6,primavera,maggio,24
cotone,colorato,lunga,autunno,2022-02-22,soleggiato,5.949999999999999,inverno,febbraio,27
cotone,chiaro,lunga,autunno,2022-03-18,pioggia,9.1,primavera,marzo,25
poliestere,colorato,lunga,estate,2022-04-02,pioggia,5.0,primavera,aprile,27
poliestere,scuro,lunga,primavera_estate,2022-01-26,nuvoloso,3.8,inverno,gennaio,24
poliestere,scuro,lunga,autunno,2022-03-25,soleggiato,10.0,primavera,marzo,24
poliestere,chiaro,corta,estate,2022-01-16,soleggiato,11.0,inverno,gennaio,14
poliestere,scuro,corta,estate,2022-11-07,soleggiato,8.7,autunno,novembre,13
cotone,chiaro,lunga,estate,2022-01-20,nuvoloso,1.7499999999999998,inverno,gennaio,23
poliestere,scuro,lunga,autunno,2022-12-08,pioggia,2.1,inverno,dicembre,27
velluto,scuro,lunga,autunno_inverno,2022-07-03,pioggia,21.1,estate,luglio,15
poliestere,chiaro,corta,estate,2022-10-23,nuvoloso,19.7,autunno,ottobre,15
poliestere,chiaro,lunga,primavera_estate,2022-10-13,nuvoloso,17.1,autunno,ottobre,22
poliestere,colorato,lunga,autunno,2022-09-17,pioggia,14.7,autunno,settembre,28
poliestere,chiaro,corta,estate,2022-02-19,pioggia,11.75,inverno,febbraio,14
poliestere,colorato,lunga,autunno,2022-01-22,nuvoloso,0.6500000000000004,inverno,gennaio,27
cotone,scuro,corta,estate,2022-11-03,neve,10.15,autunno,novembre,15
poliestere,scuro,corta,estate,2022-01-04,pioggia,10.8,inverno,gennaio,14
cotone,chiaro,lunga,estate,2022-12-05,pioggia,8.65,inverno,dicembre,23
velluto,scuro,lunga,autunno_inverno,2022-07-31,soleggiato,31.0,estate,luglio,4
poliestere,scuro,lunga,primavera_estate,2022-06-12,soleggiato,23.85,estate,giugno,17
poliestere,colorato,lunga,estate,2022-08-26,pioggia,31.3,estate,agosto,15
poliestere,colorato,lunga,estate,2022-09-28,pioggia,4.9,autunno,settembre,23
seta,scuro,lunga,primavera_estate,2022-09-05,nuvoloso,21.35,autunno,settembre,20
cotone,scuro,lunga,estate,2022-11-25,nuvoloso,14.8,autunno,novembre,23
poliestere,scuro,lunga,autunno,2022-08-22,pioggia,19.700000000000003,estate,agosto,23
cotone,chiaro,corta,estate,2022-10-08,soleggiato,21.15,autunno,ottobre,25
poliestere,chiaro,corta,estate,2022-03-30,pioggia,9.25,primavera,marzo,17
cotone,colorato,corta,estate,2022-03-08,neve,-7.300000000000001,primavera,marzo,17
poliestere,scuro,lunga,estate,2022-02-19,pioggia,5.5,inverno,febbraio,23
poliestere,colorato,lunga,estate,2022-02-05,soleggiato,5.300000000000001,inverno,febbraio,23
poliestere,scuro,lunga,autunno,2022-07-15,soleggiato,28.35,estate,luglio,9
poliestere,colorato,lunga,primavera_estate,2022-08-21,soleggiato,20.75,estate,agosto,22
poliestere,scuro,lunga,estate,2022-10-21,pioggia,17.95,autunno,ottobre,21
poliestere,colorato,lunga,estate,2022-06-19,soleggiato,26.55,estate,giugno,18
velluto,colorato,lunga,all,2022-06-12,soleggiato,18.4,estate,giugno,21
poliestere,colorato,lunga,primavera_estate,2022-05-24,pioggia,19.45,primavera,maggio,26
poliestere,colorato,lunga,primavera_estate,2022-05-19,soleggiato,13.25,primavera,maggio,27
poliestere,colorato,lunga,autunno,2022-11-28,nuvoloso,4.5,autunno,novembre,29
cotone,colorato,lunga,estate,2022-09-08,nuvoloso,27.3,autunno,settembre,17
poliestere,scuro,corta,estate,2022-04-10,pioggia,3.4,primavera,aprile,17
poliestere,chiaro,corta,estate,2022-06-11,soleggiato,21.2,estate,giugno,28
cotone,colorato,lunga,estate,2022-11-18,pioggia,16.15,autunno,novembre,23
poliestere,chiaro,lunga,estate,2022-11-04,neve,3.4,autunno,novembre,23
velluto,colorato,lunga,autunno_inverno,2022-02-08,soleggiato,2.95,inverno,febbraio,29
cotone,chiaro,lunga,estate,2022-08-17,pioggia,24.85,estate,agosto,26
poliestere,chiaro,lunga,primavera_estate,2022-02-23,soleggiato,9.95,inverno,febbraio,24
cotone,scuro,corta,estate,2022-11-01,soleggiato,15.1,autunno,novembre,17
cotone,chiaro,lunga,autunno,2022-12-02,pioggia,3.2,inverno,dicembre,27
cotone,chiaro,lunga,estate,2022-08-25,soleggiato,28.5,estate,agosto,28
poliestere,colorato,corta,primavera_estate,2022-03-17,nuvoloso,8.899999999999999,primavera,marzo,18
poliestere,chiaro,lunga,primavera_estate,2022-10-12,soleggiato,17.3,autunno,ottobre,22
poliestere,scuro,lunga,primavera_estate,2022-07-28,pioggia,27.6,estate,luglio,17
cotone,colorato,corta,autunno,2022-11-05,soleggiato,11.95,autunno,novembre,21
poliestere,scuro,lunga,autunno,2022-04-11,soleggiato,8.6,primavera,aprile,25
cotone,colorato,lunga,primavera,2022-11-13,pioggia,10.4,autunno,novembre,25
poliestere,chiaro,lunga,estate,2022-03-31,pioggia,7.300000000000001,primavera,marzo,27
poliestere,scuro,lunga,primavera_estate,2022-12-23,nuvoloso,11.3,inverno,dicembre,23
poliestere,chiaro,corta,estate,2022-06-23,soleggiato,31.55,estate,giugno,30
poliestere,colorato,lunga,autunno,2022-07-08,soleggiato,22.1,estate,luglio,19
poliestere,colorato,corta,estate,2022-03-20,pioggia,8.05,primavera,marzo,17
poliestere,colorato,lunga,primavera_estate,2022-05-02,pioggia,14.7,primavera,maggio,27
poliestere,colorato,lunga,autunno,2022-11-17,pioggia,8.8,autunno,novembre,29
cotone,chiaro,corta,estate,2022-10-07,soleggiato,15.05,autunno,ottobre,17
cotone,chiaro,lunga,primavera_estate,2022-12-18,nuvoloso,10.15,inverno,dicembre,24
poliestere,colorato,lunga,autunno,2022-08-15,pioggia,16.25,estate,agosto,23
poliestere,colorato,lunga,estate,2022-09-08,pioggia,25.55,autunno,settembre,12
poliestere,scuro,lunga,autunno,2022-11-28,neve,-6.5,autunno,novembre,29
velluto,colorato,lunga,autunno_inverno,2022-10-26,soleggiato,21.0,autunno,ottobre,19
cotone,colorato,corta,estate,2022-04-23,pioggia,13.1,primavera,aprile,19
poliestere,colorato,lunga,estate,2022-11-07,pioggia,2.6,autunno,novembre,23
cotone,colorato,lunga,autunno,2022-01-04,nuvoloso,5.15,inverno,gennaio,27
poliestere,colorato,lunga,primavera_estate,2022-10-22,nuvoloso,20.4,autunno,ottobre,18
poliestere,chiaro,lunga,primavera_estate,2022-02-10,soleggiato,8.149999999999999,inverno,febbraio,24
poliestere,scuro,lunga,primavera_estate,2022-09-26,pioggia,20.75,autunno,settembre,18
poliestere,scuro,lunga,autunno,2022-10-24,pioggia,19.65,autunno,ottobre,27
poliestere,scuro,lunga,primavera,2022-11-04,pioggia,17.0,autunno,novembre,23
cotone,scuro,lunga,primavera_estate,2022-01-20,pioggia,9.15,inverno,gennaio,24
poliestere,scuro,lunga,primavera_estate,2022-04-11,soleggiato,9.4,primavera,aprile,28
cotone,chiaro,corta,estate,2022-09-04,pioggia,27.65,autunno,settembre,23
poliestere,chiaro,lunga,estate,2022-07-07,pioggia,30.55,estate,luglio,15
cotone,scuro,lunga,primavera_estate,2022-04-26,nuvoloso,13.55,primavera,aprile,28
poliestere,scuro,lunga,primavera_estate,2022-04-05,pioggia,16.200000000000003,primavera,aprile,26
poliestere,chiaro,lunga,primavera_estate,2022-10-24,soleggiato,20.3,autunno,ottobre,23
poliestere,scuro,lunga,autunno,2022-10-01,pioggia,11.65,autunno,ottobre,28
poliestere,scuro,lunga,primavera_estate,2022-04-03,pioggia,0.3000000000000002,primavera,aprile,28
poliestere,chiaro,lunga,primavera,2022-10-15,soleggiato,18.2,autunno,ottobre,23
poliestere,scuro,lunga,estate,2022-11-11,soleggiato,15.75,autunno,novembre,21
cotone,chiaro,corta,estate,2022-10-28,soleggiato,14.7,autunno,ottobre,15
poliestere,scuro,lunga,autunno,2022-07-22,pioggia,20.3,estate,luglio,19
cotone,scuro,corta,estate,2022-10-21,pioggia,18.1,autunno,ottobre,17
poliestere,chiaro,lunga,primavera_estate,2022-05-22,soleggiato,25.9,primavera,maggio,22
poliestere,scuro,corta,estate,2022-05-21,soleggiato,16.950000000000003,primavera,maggio,19
poliestere,colorato,corta,estate,2022-03-29,nuvoloso,6.6000000000000005,primavera,marzo,17
poliestere,colorato,corta,estate,2022-02-06,neve,0.8999999999999999,inverno,febbraio,13
cotone,colorato,corta,estate,2022-05-15,pioggia,16.9,primavera,maggio,21
cotone,chiaro,lunga,estate,2022-03-21,neve,-1.65,primavera,marzo,27
poliestere,chiaro,lunga,estate,2022-01-05,soleggiato,6.9,inverno,gennaio,23
poliestere,chiaro,corta,estate,2022-04-29,soleggiato,17.15,primavera,aprile,19
poliestere,scuro,lunga,autunno,2022-09-29,pioggia,7.449999999999999,autunno,settembre,29
poliestere,scuro,lunga,estate,2022-05-08,pioggia,18.9,primavera,maggio,25
poliestere,chiaro,lunga,autunno,2022-03-24,soleggiato,9.5,primavera,marzo,25
cotone,scuro,lunga,autunno,2022-08-06,pioggia,19.65,estate,agosto,25
poliestere,colorato,lunga,estate,2022-11-01,nuvoloso,14.75,autunno,novembre,22
poliestere,scuro,lunga,estate,2022-01-31,pioggia,4.75,inverno,gennaio,23
cotone,chiaro,lunga,autunno,2022-10-03,pioggia,16.05,autunno,ottobre,29
poliestere,colorato,lunga,estate,2022-04-29,soleggiato,14.8,primavera,aprile,26
poliestere,colorato,lunga,estate,2022-04-07,neve,8.1,primavera,aprile,27
poliestere,scuro,corta,estate,2022-02-16,neve,2.9,inverno,febbraio,13
cotone,colorato,lunga,estate,2022-06-15,soleggiato,29.6,estate,giugno,23
cotone,chiaro,lunga,estate,2022-01-26,soleggiato,5.4,inverno,gennaio,23
cotone,colorato,lunga,estate,2022-04-23,neve,8.25,primavera,aprile,27
cotone,chiaro,corta,estate,2022-11-06,pioggia,12.4,autunno,novembre,15
poliestere,colorato,lunga,estate,2022-08-20,pioggia,25.75,estate,agosto,18
poliestere,scuro,lunga,primavera_estate,2022-12-15,pioggia,2.5,inverno,dicembre,24
poliestere,colorato,lunga,estate,2022-11-29,nuvoloso,8.15,autunno,novembre,23
velluto,scuro,lunga,autunno_inverno,2022-10-30,soleggiato,17.799999999999997,autunno,ottobre,23
poliestere,scuro,lunga,estate,2022-02-10,soleggiato,4.6,inverno,febbraio,23
poliestere,colorato,lunga,estate,2022-02-03,soleggiato,6.0,inverno,febbraio,23
poliestere,scuro,lunga,autunno,2022-02-08,soleggiato,-2.6,inverno,febbraio,27
poliestere,chiaro,corta,estate,2022-03-09,soleggiato,3.05,primavera,marzo,17
cotone,colorato,corta,estate,2022-08-04,soleggiato,31.200000000000003,estate,agosto,30
poliestere,colorato,lunga,autunno,2022-10-29,soleggiato,19.65,autunno,ottobre,27
poliestere,scuro,lunga,primavera_estate,2022-08-03,soleggiato,29.05,estate,agosto,12
poliestere,colorato,lunga,primavera_estate,2022-03-24,soleggiato,5.15,primavera,marzo,28
poliestere,scuro,lunga,primavera_estate,2022-09-26,pioggia,19.25,autunno,settembre,22
poliestere,scuro,lunga,estate,2022-10-30,soleggiato,13.25,autunno,ottobre,22
