Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,27,estate,22
scarpa classica,y,y,colorato,primavera_estate,pioggia,18,primavera,25
scarpe aperte,y,n,chiaro,estate,soleggiato,30,estate,30
scarpe aperte,y,n,chiaro,primavera_estate,soleggiato,26,estate,28
scarpa da ginnastica,y,n,chiaro,inverno,pioggia,8,inverno,27
scarpa da ginnastica,y,y,colorato,estate,soleggiato,3,primavera,17
scarpe aperte,y,n,scuro,estate,pioggia,15,estate,19
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,17,autunno,31
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,pioggia,6,inverno,29
scarpa da ginnastica,n,y,scuro,estate,pioggia,8,inverno,16
scarpa da ginnastica,n,n,colorato,inverno,pioggia,12,primavera,21
stivaletto alla caviglia,y,n,scuro,autunno_inverno,soleggiato,4,inverno,16
scarpa classica,y,y,chiaro,inverno,soleggiato,31,estate,17
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,21,autunno,26
scarpe aperte,n,n,chiaro,primavera,pioggia,10,inverno,15
scarpa da ginnastica,y,n,colorato,all,pioggia,29,estate,22
scarpe aperte,y,n,chiaro,primavera_estate,soleggiato,19,autunno,18
scarpe aperte,y,n,colorato,primavera,neve,-5,inverno,13
scarpa da ginnastica,y,n,scuro,inverno,pioggia,28,estate,16
scarpa da ginnastica,y,n,chiaro,primavera_estate,soleggiato,21,autunno,23
scarpa da ginnastica,y,n,chiaro,all,pioggia,13,autunno,22
scarpa classica,n,y,colorato,all,pioggia,25,estate,23
scarpa classica,y,y,colorato,all,soleggiato,2,primavera,18
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,9,autunno,29
scarpa da ginnastica,y,n,chiaro,all,nuvoloso,5,inverno,19
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,13,inverno,17
scarpe aperte,n,n,colorato,estate,soleggiato,18,autunno,17
scarpe con tacchi,n,n,chiaro,inverno,soleggiato,0,inverno,23
scarpa da ginnastica,y,n,scuro,estate,soleggiato,6,inverno,13
scarpa classica,y,n,chiaro,primavera_estate,pioggia,24,estate,26
scarpa da ginnastica,y,n,chiaro,autunno_inverno,soleggiato,27,estate,20
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,16,estate,24
scarpa classica,n,n,colorato,inverno,soleggiato,13,primavera,17
stivaletto alla caviglia,y,y,colorato,autunno,neve,-3,inverno,25
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,6,inverno,31
scarpa da ginnastica,y,y,colorato,estate,nuvoloso,29,estate,24
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,21,primavera,10
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,6,inverno,31
scarpa classica,y,y,scuro,all,soleggiato,16,autunno,18
scarpa classica,y,y,colorato,inverno,pioggia,8,inverno,28
scarpe aperte,n,n,scuro,primavera_estate,pioggia,24,autunno,15
scarpe aperte,n,n,colorato,primavera,soleggiato,-1,primavera,21
scarpa classica,y,y,colorato,autunno_inverno,soleggiato,22,autunno,18
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,26,estate,23
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,18,autunno,31
scarpa classica,y,y,scuro,primavera_estate,pioggia,16,primavera,25
scarpe aperte,y,n,scuro,estate,pioggia,2,inverno,10
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,12,estate,25
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,11,primavera,25
scarpa da ginnastica,y,y,chiaro,primavera_estate,soleggiato,18,autunno,17
scarpa da ginnastica,n,y,chiaro,autunno_inverno,soleggiato,4,inverno,21
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,8,autunno,22
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,15,autunno,29
scarpa classica,y,y,colorato,primavera_estate,pioggia,6,primavera,22
scarpe aperte,y,n,scuro,primavera,pioggia,23,estate,19
scarpe aperte,y,n,colorato,primavera_estate,soleggiato,15,primavera,22
scarpe aperte,y,n,colorato,primavera_estate,pioggia,5,inverno,11
scarpe aperte,y,n,scuro,primavera,pioggia,29,estate,17
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,soleggiato,16,primavera,13
scarpe aperte,y,n,chiaro,primavera,soleggiato,2,inverno,17
scarpe con tacchi,y,n,scuro,primavera_estate,nuvoloso,11,primavera,17
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,9,primavera,25
stivaletto alla caviglia,y,y,chiaro,autunno,pioggia,3,inverno,27
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,17,autunno,29
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,pioggia,4,primavera,24
anfibi,n,y,chiaro,autunno_inverno,soleggiato,9,primavera,13
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,9,autunno,17
stivaletto alla caviglia,n,n,colorato,autunno_inverno,nuvoloso,25,autunno,15
scarpa da ginnastica,n,n,chiaro,autunno_inverno,pioggia,13,autunno,25
scarpa da ginnastica,y,n,scuro,primavera_estate,pioggia,23,autunno,21
scarpe aperte,n,n,colorato,primavera,pioggia,14,primavera,19
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,2,inverno,27
scarpa da ginnastica,y,n,chiaro,inverno,nuvoloso,3,inverno,24
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,11,primavera,25
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,27,autunno,27
stivaletto alla caviglia,y,n,colorato,autunno_inverno,pioggia,27,estate,22
stivaletto alla caviglia,y,n,chiaro,inverno,nuvoloso,9,primavera,14
stivaletto alla caviglia,y,y,chiaro,inverno,soleggiato,5,inverno,19
scarpa classica,y,y,colorato,primavera_estate,pioggia,10,autunno,20
scarpa da ginnastica,n,y,scuro,autunno_inverno,nuvoloso,13,autunno,22
scarpa da ginnastica,n,y,chiaro,all,soleggiato,30,estate,24
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,16,autunno,16
stivaletto alla caviglia,y,n,scuro,autunno,soleggiato,20,autunno,11
scarpe aperte,n,n,chiaro,estate,pioggia,30,estate,21
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,35,estate,18
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,6,inverno,31
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,11,primavera,13
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,20,autunno,28
stivaletto alla caviglia,y,n,chiaro,autunno,soleggiato,24,estate,17
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,25,autunno,14
stivaletto alla caviglia,n,y,chiaro,inverno,pioggia,14,inverno,31
stivaletto alla caviglia,y,n,chiaro,autunno,pioggia,19,primavera,27
stivaletto alla caviglia,y,n,scuro,inverno,pioggia,17,autunno,28
scarpa classica,n,y,colorato,primavera_estate,neve,-3,inverno,17
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,8,inverno,29
stivaletto alla caviglia,n,n,colorato,autunno,neve,3,primavera,23
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,1,primavera,24
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,27,estate,22
stivaletto alla caviglia,y,y,chiaro,inverno,soleggiato,25,estate,13
stivaletto alla caviglia,n,n,chiaro,autunno,soleggiato,15,autunno,19
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,28,estate,3
scarpa classica,n,y,scuro,all,pioggia,14,primavera,23
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,18,autunno,17
scarpa classica,n,n,colorato,all,pioggia,33,estate,23
stivaletto alla caviglia,y,n,chiaro,autunno,pioggia,20,autunno,28
scarpa classica,y,y,colorato,inverno,soleggiato,2,primavera,17
stivaletto alla caviglia,n,y,chiaro,inverno,soleggiato,1,inverno,19
scarpa classica,y,y,chiaro,inverno,soleggiato,29,estate,17
scarpe con tacchi,y,n,chiaro,primavera_estate,soleggiato,4,primavera,17
scarpe aperte,y,n,scuro,estate,nuvoloso,28,estate,18
scarpe aperte,y,n,chiaro,primavera,pioggia,24,estate,19
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,2,inverno,15
scarpe aperte,y,n,chiaro,estate,pioggia,14,primavera,15
scarpe con tacchi,y,n,colorato,estate,nuvoloso,17,autunno,13
scarpa classica,n,y,colorato,inverno,soleggiato,2,primavera,17
scarpa classica,n,y,chiaro,autunno_inverno,nuvoloso,4,inverno,21
stivaletto alla caviglia,n,y,scuro,inverno,nuvoloso,7,primavera,14
stivaletto alla caviglia,n,y,scuro,autunno,nuvoloso,-1,inverno,16
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,3,inverno,28
scarpa da ginnastica,y,y,colorato,all,pioggia,5,inverno,22
stivaletto alla caviglia,n,y,chiaro,autunno,pioggia,22,estate,24
scarpe aperte,y,n,colorato,primavera,pioggia,23,estate,19
scarpe con tacchi,y,n,chiaro,autunno_inverno,soleggiato,4,primavera,16
stivaletto alla caviglia,y,y,chiaro,inverno,soleggiato,9,primavera,13
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,28,estate,15
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,4,inverno,19
scarpa da ginnastica,n,y,scuro,estate,nuvoloso,3,primavera,17
scarpa da ginnastica,y,y,chiaro,primavera_estate,soleggiato,22,primavera,27
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,28,estate,23
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,15,autunno,19
anfibi,n,y,scuro,inverno,pioggia,6,inverno,31
scarpa da ginnastica,n,y,scuro,primavera_estate,soleggiato,14,autunno,16
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,7,primavera,25
scarpe con tacchi,n,n,scuro,primavera_estate,pioggia,5,inverno,15
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,29,estate,18
scarpe aperte,n,n,chiaro,estate,soleggiato,20,autunno,23
scarpe con tacchi,n,n,chiaro,inverno,pioggia,25,estate,14
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,24,estate,15
scarpe aperte,y,n,scuro,estate,soleggiato,30,estate,20
scarpa da ginnastica,n,n,chiaro,autunno_inverno,pioggia,10,autunno,25
scarpa da ginnastica,n,n,colorato,all,pioggia,7,primavera,22
stivaletto alla caviglia,n,n,chiaro,inverno,nuvoloso,3,inverno,20
stivaletto alla caviglia,n,y,chiaro,inverno,soleggiato,17,autunno,16
scarpa da ginnastica,y,y,colorato,all,soleggiato,25,estate,19
scarpa da ginnastica,y,y,scuro,estate,pioggia,29,estate,27
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,pioggia,8,primavera,25
scarpa classica,n,y,chiaro,autunno_inverno,soleggiato,15,autunno,21
scarpa classica,n,y,colorato,primavera_estate,soleggiato,9,inverno,13
scarpe aperte,y,n,scuro,estate,soleggiato,27,estate,20
scarpe aperte,y,n,chiaro,primavera_estate,soleggiato,20,autunno,24
scarpa classica,n,y,chiaro,all,pioggia,5,inverno,23
scarpa classica,n,y,scuro,autunno_inverno,pioggia,25,estate,19
scarpa classica,y,y,scuro,inverno,pioggia,25,estate,17
scarpa classica,n,y,chiaro,autunno_inverno,nuvoloso,19,primavera,18
scarpa classica,n,y,scuro,all,pioggia,4,inverno,23
stivaletto alla caviglia,n,n,chiaro,inverno,nuvoloso,1,inverno,20
stivaletto alla caviglia,y,n,colorato,autunno,soleggiato,16,primavera,15
scarpa da ginnastica,n,n,chiaro,estate,soleggiato,28,estate,29
stivaletto alla caviglia,n,y,scuro,autunno_inverno,neve,6,inverno,27
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,30,estate,20
scarpa da ginnastica,y,n,chiaro,all,nuvoloso,4,inverno,19
stivaletto alla caviglia,n,n,chiaro,autunno,pioggia,27,primavera,23
scarpa classica,n,n,colorato,autunno_inverno,soleggiato,26,estate,14
scarpa da ginnastica,n,y,chiaro,autunno_inverno,pioggia,27,estate,18
stivaletto alla caviglia,y,y,chiaro,autunno,soleggiato,18,autunno,19
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,19,autunno,22
stivaletto alla caviglia,n,y,chiaro,inverno,soleggiato,34,estate,13
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,15,primavera,16
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,3,primavera,25
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,soleggiato,3,inverno,16
scarpa classica,n,y,chiaro,primavera_estate,pioggia,9,autunno,18
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,16,primavera,13
scarpa da ginnastica,y,y,scuro,all,soleggiato,17,autunno,19
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,12,autunno,25
scarpa classica,n,y,scuro,all,pioggia,13,primavera,23
scarpa classica,n,y,chiaro,inverno,soleggiato,26,estate,17
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,-6,inverno,16
stivaletto alla caviglia,n,y,chiaro,autunno,pioggia,29,primavera,23
scarpe con tacchi,n,n,scuro,primavera_estate,soleggiato,13,autunno,15
scarpe con tacchi,n,n,colorato,autunno_inverno,soleggiato,28,estate,14
stivaletto alla caviglia,n,n,chiaro,autunno_inverno,pioggia,22,primavera,22
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,16,primavera,27
scarpe con tacchi,n,n,colorato,primavera_estate,pioggia,13,primavera,21
scarpe aperte,n,n,scuro,estate,neve,-3,primavera,14
scarpe aperte,y,n,chiaro,estate,neve,5,inverno,10
scarpa classica,n,y,scuro,inverno,soleggiato,18,autunno,20
scarpe con tacchi,n,n,scuro,primavera_estate,pioggia,28,estate,23
stivaletto alla caviglia,n,y,chiaro,inverno,soleggiato,15,autunno,16
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,19,primavera,24
stivaletto alla caviglia,n,n,scuro,autunno,soleggiato,27,estate,6
scarpe con tacchi,n,n,colorato,autunno_inverno,soleggiato,33,estate,14
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,17,primavera,24
scarpa classica,n,y,colorato,primavera_estate,soleggiato,7,primavera,17
scarpe aperte,n,n,scuro,estate,pioggia,17,primavera,17
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,11,primavera,15
scarpa da ginnastica,n,n,colorato,autunno_inverno,soleggiato,25,estate,15
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,8,inverno,16
stivali,y,y,chiaro,autunno,soleggiato,26,autunno,20
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,8,autunno,30
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,26,estate,20
scarpa da ginnastica,y,y,chiaro,estate,soleggiato,29,estate,29
scarpa da ginnastica,n,n,colorato,estate,pioggia,6,primavera,20
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,6,autunno,19
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,18,estate,21
stivaletto alla caviglia,n,n,scuro,autunno_inverno,pioggia,3,inverno,28
scarpa da ginnastica,y,n,chiaro,primavera_estate,pioggia,26,estate,25
scarpa da ginnastica,y,n,colorato,all,soleggiato,26,primavera,19
scarpa da ginnastica,y,n,colorato,primavera_estate,soleggiato,-8,inverno,14
scarpe con tacchi,y,n,colorato,autunno_inverno,pioggia,14,inverno,23
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,6,primavera,26
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,0,inverno,16
stivaletto alla caviglia,n,y,chiaro,autunno_inverno,soleggiato,0,inverno,16
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,12,inverno,21
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,10,primavera,13
stivaletto alla caviglia,y,y,scuro,inverno,neve,-3,inverno,29
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,27,autunno,21
stivaletto alla caviglia,n,y,chiaro,autunno,soleggiato,9,primavera,14
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,soleggiato,15,autunno,17
scarpa da ginnastica,y,y,chiaro,estate,soleggiato,27,estate,29
scarpa da ginnastica,y,y,scuro,primavera_estate,pioggia,28,estate,25
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,15,autunno,25
scarpe con tacchi,y,n,scuro,primavera_estate,soleggiato,16,autunno,16
stivaletto alla caviglia,y,y,chiaro,inverno,soleggiato,16,autunno,16
stivaletto alla caviglia,n,y,scuro,autunno_inverno,nuvoloso,10,inverno,18
scarpe aperte,y,n,colorato,estate,nuvoloso,10,inverno,8
scarpe aperte,n,n,scuro,estate,pioggia,30,estate,21
scarpa da ginnastica,n,y,scuro,autunno_inverno,soleggiato,-3,inverno,21
scarpa classica,n,y,scuro,inverno,pioggia,3,inverno,28
scarpa da ginnastica,n,y,scuro,inverno,pioggia,21,estate,17
scarpa classica,y,y,scuro,autunno_inverno,soleggiato,2,inverno,20
scarpa da ginnastica,n,y,colorato,primavera_estate,pioggia,14,autunno,19
scarpa da ginnastica,n,n,scuro,all,soleggiato,21,autunno,14
scarpa da ginnastica,n,n,chiaro,autunno_inverno,pioggia,28,estate,18
scarpa da ginnastica,y,y,colorato,estate,soleggiato,28,estate,24
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,30,estate,11
stivaletto alla caviglia,n,y,colorato,autunno_inverno,nuvoloso,6,inverno,18
scarpa da ginnastica,n,y,colorato,all,pioggia,26,estate,22
scarpa da ginnastica,y,y,scuro,primavera_estate,pioggia,16,inverno,20
scarpa da ginnastica,y,n,chiaro,inverno,neve,9,autunno,24
scarpa da ginnastica,y,n,chiaro,estate,nuvoloso,7,autunno,13
scarpa da ginnastica,y,n,chiaro,primavera_estate,pioggia,17,autunno,20
stivaletto alla caviglia,y,n,scuro,autunno_inverno,soleggiato,30,estate,5
stivaletto alla caviglia,y,y,chiaro,inverno,pioggia,12,autunno,29
scarpe aperte,y,n,scuro,estate,soleggiato,16,autunno,17
scarpa da ginnastica,y,y,scuro,inverno,pioggia,1,primavera,21
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,4,primavera,20
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,3,inverno,24
scarpe aperte,y,n,chiaro,primavera,soleggiato,26,estate,26
scarpa da ginnastica,y,n,colorato,primavera_estate,soleggiato,28,estate,22
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,25,estate,22
scarpa da ginnastica,n,y,scuro,autunno_inverno,soleggiato,25,estate,10
scarpe con tacchi,n,n,scuro,primavera_estate,nuvoloso,28,estate,19
stivaletto alla caviglia,n,y,colorato,inverno,nuvoloso,2,autunno,18
scarpa classica,n,y,scuro,all,pioggia,16,primavera,23
scarpa classica,n,n,scuro,autunno_inverno,soleggiato,31,estate,9
scarpa da ginnastica,n,n,colorato,all,pioggia,14,primavera,22
scarpa da ginnastica,y,y,colorato,estate,soleggiato,27,estate,24
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,8,primavera,14
scarpa da ginnastica,y,n,chiaro,inverno,soleggiato,28,estate,18
scarpa da ginnastica,n,n,chiaro,estate,pioggia,4,inverno,16
scarpa da ginnastica,n,n,chiaro,all,pioggia,6,inverno,22
scarpa da ginnastica,y,n,chiaro,autunno_inverno,pioggia,1,inverno,24
scarpa da ginnastica,y,n,colorato,all,neve,-1,primavera,21
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,3,inverno,14
stivaletto alla caviglia,y,y,chiaro,inverno,nuvoloso,8,inverno,20
scarpa da ginnastica,y,n,colorato,autunno_inverno,soleggiato,25,estate,15
scarpa da ginnastica,y,y,scuro,all,pioggia,30,estate,22
scarpe aperte,y,n,scuro,estate,soleggiato,2,inverno,14
scarpe aperte,n,n,colorato,primavera_estate,nuvoloso,3,inverno,8
scarpa classica,y,y,colorato,all,soleggiato,15,autunno,18
scarpa classica,y,y,scuro,autunno_inverno,pioggia,6,autunno,26
stivaletto alla caviglia,n,n,colorato,autunno_inverno,neve,10,autunno,27
stivaletto alla caviglia,y,n,colorato,autunno_inverno,soleggiato,23,primavera,10
scarpa da ginnastica,y,y,scuro,primavera_estate,soleggiato,31,estate,17
scarpa da ginnastica,y,y,scuro,estate,pioggia,23,estate,26
scarpa da ginnastica,n,n,colorato,all,soleggiato,29,estate,19
scarpa da ginnastica,y,y,chiaro,all,pioggia,15,autunno,22
scarpa da ginnastica,y,y,colorato,estate,pioggia,27,estate,27
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,11,primavera,18
scarpa da ginnastica,n,y,colorato,all,pioggia,31,estate,22
scarpa da ginnastica,n,n,chiaro,estate,pioggia,6,inverno,16
scarpa da ginnastica,y,n,chiaro,inverno,soleggiato,33,estate,18
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,13,inverno,29
scarpa classica,n,n,chiaro,inverno,soleggiato,7,inverno,23
stivaletto alla caviglia,y,y,colorato,autunno_inverno,nuvoloso,23,autunno,15
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,27,autunno,12
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,6,inverno,19
scarpa da ginnastica,n,y,scuro,estate,pioggia,14,autunno,17
stivaletto alla caviglia,n,n,chiaro,inverno,pioggia,18,autunno,28
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,22,estate,18
scarpa da ginnastica,y,y,scuro,all,pioggia,13,primavera,22
scarpa da ginnastica,n,y,scuro,all,pioggia,11,primavera,22
scarpa da ginnastica,n,y,scuro,estate,soleggiato,14,primavera,18
scarpa da ginnastica,y,y,chiaro,estate,soleggiato,3,inverno,13
scarpa da ginnastica,n,y,chiaro,autunno_inverno,pioggia,5,inverno,25
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,18,autunno,29
scarpa da ginnastica,y,n,colorato,all,soleggiato,21,autunno,19
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,23,autunno,22
scarpa da ginnastica,n,n,scuro,estate,soleggiato,20,primavera,16
scarpa da ginnastica,n,n,colorato,primavera_estate,soleggiato,30,estate,22
scarpa da ginnastica,n,n,chiaro,autunno_inverno,pioggia,9,inverno,25
scarpa da ginnastica,y,n,colorato,estate,soleggiato,0,inverno,13
scarpa da ginnastica,n,y,colorato,all,soleggiato,20,primavera,19
scarpa da ginnastica,n,n,colorato,autunno_inverno,soleggiato,22,autunno,19
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,14,primavera,13
scarpa da ginnastica,n,n,chiaro,estate,soleggiato,35,estate,29
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,5,inverno,24
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,32,estate,20
scarpa da ginnastica,n,y,chiaro,autunno_inverno,nuvoloso,28,estate,15
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,28,estate,18
scarpa da ginnastica,n,n,chiaro,autunno_inverno,soleggiato,23,estate,20
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,12,primavera,18
stivaletto alla caviglia,n,n,chiaro,autunno,pioggia,24,estate,24
scarpa da ginnastica,y,y,colorato,estate,soleggiato,15,autunno,16
scarpa da ginnastica,n,y,colorato,inverno,pioggia,24,autunno,21
scarpa classica,n,y,colorato,autunno_inverno,soleggiato,19,autunno,21
scarpa classica,n,y,scuro,inverno,soleggiato,31,estate,7
scarpa da ginnastica,n,n,chiaro,autunno_inverno,pioggia,4,autunno,24
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,9,autunno,17
scarpa da ginnastica,n,y,colorato,autunno_inverno,pioggia,6,inverno,25
scarpa classica,n,y,colorato,all,pioggia,13,primavera,23
anfibi,n,y,scuro,autunno_inverno,soleggiato,21,estate,5
anfibi,n,y,scuro,autunno_inverno,pioggia,19,estate,25
scarpa da ginnastica,y,n,scuro,all,soleggiato,31,estate,14
scarpa da ginnastica,y,n,chiaro,primavera_estate,pioggia,28,estate,25
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,12,inverno,19
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,27,estate,18
scarpa da ginnastica,y,y,chiaro,autunno_inverno,soleggiato,31,estate,20
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,soleggiato,25,estate,15
scarpa da ginnastica,y,y,scuro,all,soleggiato,3,inverno,19
anfibi,y,n,chiaro,inverno,soleggiato,24,estate,14
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,18,primavera,27
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,24,estate,9
scarpa da ginnastica,n,n,chiaro,inverno,pioggia,31,estate,16
stivaletto alla caviglia,y,n,colorato,inverno,pioggia,28,estate,20
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,18,autunno,17
scarpa classica,y,n,scuro,inverno,neve,0,primavera,21
scarpa da ginnastica,n,n,colorato,estate,soleggiato,24,primavera,21
scarpa da ginnastica,y,n,chiaro,estate,pioggia,15,autunno,19
scarpa da ginnastica,y,n,scuro,all,pioggia,10,estate,22
anfibi,n,n,chiaro,inverno,pioggia,12,primavera,25
scarpa classica,y,y,scuro,autunno_inverno,pioggia,6,primavera,22
stivaletto alla caviglia,y,y,chiaro,autunno_inverno,pioggia,28,autunno,26
scarpa da ginnastica,y,y,chiaro,primavera_estate,pioggia,25,autunno,21
scarpa da ginnastica,n,n,scuro,primavera_estate,soleggiato,16,autunno,17
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,30,estate,10
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,14,primavera,13
stivaletto alla caviglia,y,y,scuro,autunno,soleggiato,8,inverno,16
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,20,autunno,13
scarpa da ginnastica,n,n,colorato,inverno,pioggia,14,inverno,27
scarpa da ginnastica,n,y,chiaro,inverno,soleggiato,18,estate,17
scarpa da ginnastica,y,y,scuro,all,pioggia,29,autunno,22
scarpa da ginnastica,y,y,scuro,primavera_estate,pioggia,24,estate,25
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,28,estate,18
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,2,inverno,24
scarpa da ginnastica,y,y,chiaro,primavera_estate,pioggia,19,autunno,20
scarpe con tacchi,n,n,scuro,inverno,nuvoloso,13,autunno,19
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,15,autunno,17
stivaletto alla caviglia,n,y,chiaro,autunno,soleggiato,8,primavera,14
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,9,primavera,25
scarpa da ginnastica,n,y,colorato,inverno,soleggiato,19,autunno,21
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,15,autunno,21
anfibi,n,y,chiaro,inverno,pioggia,15,autunno,28
anfibi,n,y,colorato,inverno,pioggia,14,autunno,29
scarpa classica,n,y,scuro,inverno,pioggia,19,autunno,25
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,0,inverno,24
stivaletto alla caviglia,n,n,scuro,inverno,soleggiato,2,primavera,13
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,31,estate,5
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,31,estate,8
scarpe con tacchi,n,n,scuro,primavera_estate,pioggia,30,autunno,19
scarpa da ginnastica,n,n,chiaro,inverno,soleggiato,21,primavera,19
scarpe con tacchi,n,n,colorato,inverno,pioggia,5,primavera,19
anfibi,n,n,scuro,inverno,soleggiato,20,autunno,8
scarpa da ginnastica,n,n,chiaro,inverno,pioggia,10,inverno,27
scarpa da ginnastica,n,n,scuro,primavera_estate,soleggiato,20,autunno,13
