Materiale,Colore,Manica,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione,Punteggio
cotone,scuro,lunga,autunno,pioggia,28.6,estate,19
poliestere,chiaro,lunga,primavera_estate,pioggia,8.2,autunno,24
poliestere,scuro,lunga,autunno,soleggiato,5.05,inverno,27
poliestere,colorato,lunga,estate,soleggiato,5.1000000000000005,inverno,23
poliestere,colorato,lunga,primavera_estate,pioggia,19.6,estate,26
cotone,colorato,corta,estate,soleggiato,30.3,estate,30
poliestere,colorato,lunga,autunno,pioggia,17.700000000000003,autunno,27
poliestere,chiaro,corta,estate,pioggia,7.800000000000001,autunno,13
poliestere,colorato,corta,estate,soleggiato,26.15,estate,24
poliestere,chiaro,lunga,estate,soleggiato,26.25,estate,23
poliestere,scuro,corta,estate,nuvoloso,14.6,primavera,18
poliestere,scuro,corta,estate,pioggia,14.7,inverno,14
cotone,scuro,lunga,estate,nuvoloso,10.65,inverno,23
cotone,scuro,lunga,estate,pioggia,17.35,autunno,23
cotone,chiaro,corta,estate,pioggia,7.0,inverno,13
cotone,chiaro,lunga,estate,pioggia,2.85,primavera,27
cotone,chiaro,lunga,estate,pioggia,6.9,inverno,23
poliestere,colorato,lunga,estate,soleggiato,30.200000000000003,estate,15
poliestere,chiaro,corta,estate,pioggia,10.5,primavera,18
cotone,chiaro,corta,estate,soleggiato,10.75,inverno,15
poliestere,scuro,lunga,primavera_estate,pioggia,-1.55,inverno,24
cotone,scuro,corta,estate,pioggia,27.25,autunno,23
poliestere,chiaro,lunga,autunno,pioggia,9.15,autunno,29
poliestere,chiaro,lunga,primavera_estate,soleggiato,28.450000000000003,estate,22
cotone,chiaro,corta,estate,pioggia,21.4,estate,26
poliestere,scuro,lunga,autunno,soleggiato,22.700000000000003,estate,14
cotone,chiaro,lunga,estate,soleggiato,1.2500000000000002,inverno,23
velluto,scuro,lunga,autunno_inverno,soleggiato,16.0,autunno,23
cotone,scuro,corta,estate,nuvoloso,25.75,primavera,27
cotone,colorato,lunga,autunno,pioggia,26.85,estate,19
poliestere,scuro,corta,estate,pioggia,20.55,estate,23
raso,scuro,lunga,primavera_estate,pioggia,23.6,estate,21
poliestere,scuro,lunga,primavera_estate,pioggia,13.1,inverno,23
cotone,colorato,lunga,autunno,pioggia,27.1,estate,19
poliestere,colorato,lunga,autunno,pioggia,12.35,autunno,28
raso,chiaro,lunga,primavera_estate,soleggiato,33.3,estate,23
poliestere,chiaro,lunga,autunno,pioggia,21.45,estate,19
cotone,scuro,lunga,autunno,nuvoloso,-14.5,inverno,27
poliestere,scuro,lunga,estate,pioggia,21.9,autunno,17
poliestere,chiaro,lunga,estate,pioggia,7.0,autunno,23
poliestere,chiaro,lunga,estate,soleggiato,8.15,inverno,23
poliestere,colorato,corta,estate,pioggia,9.3,inverno,13
poliestere,scuro,corta,estate,soleggiato,3.0,primavera,17
poliestere,chiaro,lunga,primavera_estate,pioggia,7.800000000000001,primavera,28
poliestere,scuro,lunga,autunno,soleggiato,29.450000000000003,estate,9
poliestere,colorato,lunga,estate,soleggiato,1.9,inverno,23
cotone,chiaro,lunga,primavera,nuvoloso,2.15,inverno,25
poliestere,colorato,corta,estate,soleggiato,8.25,autunno,13
poliestere,colorato,corta,estate,pioggia,21.95,estate,23
poliestere,scuro,lunga,primavera_estate,pioggia,18.15,primavera,26
poliestere,chiaro,corta,estate,soleggiato,23.8,estate,28
poliestere,scuro,lunga,primavera_estate,pioggia,34.650000000000006,estate,14
poliestere,chiaro,lunga,primavera_estate,soleggiato,22.4,estate,27
poliestere,colorato,corta,estate,soleggiato,19.55,autunno,15
cotone,chiaro,lunga,primavera_estate,pioggia,8.9,autunno,24
cotone,scuro,corta,primavera_estate,soleggiato,-1.85,inverno,14
cotone,chiaro,corta,estate,pioggia,19.55,autunno,17
cotone,scuro,corta,estate,pioggia,8.95,inverno,13
poliestere,chiaro,lunga,estate,soleggiato,9.3,primavera,27
cotone,scuro,lunga,autunno,soleggiato,4.15,primavera,25
poliestere,scuro,lunga,autunno,soleggiato,16.75,autunno,27
poliestere,scuro,corta,estate,pioggia,17.35,autunno,15
poliestere,scuro,lunga,autunno,pioggia,8.1,autunno,29
poliestere,scuro,lunga,autunno,pioggia,28.0,estate,14
cotone,scuro,lunga,primavera_estate,soleggiato,17.85,autunno,24
poliestere,colorato,lunga,estate,nuvoloso,13.6,autunno,22
poliestere,scuro,corta,estate,soleggiato,26.35,estate,19
cotone,scuro,corta,estate,pioggia,16.75,estate,23
cotone,colorato,lunga,primavera_estate,pioggia,21.6,estate,25
cotone,scuro,lunga,autunno,soleggiato,8.2,primavera,25
poliestere,colorato,lunga,primavera_estate,soleggiato,27.65,estate,17
poliestere,chiaro,lunga,estate,pioggia,1.4,autunno,23
poliestere,chiaro,lunga,autunno,nuvoloso,10.05,primavera,24
cotone,chiaro,corta,estate,pioggia,-7.050000000000001,primavera,17
poliestere,scuro,lunga,autunno_inverno,pioggia,12.3,primavera,23
poliestere,scuro,corta,estate,soleggiato,24.85,autunno,12
cotone,scuro,lunga,estate,pioggia,9.95,primavera,27
poliestere,colorato,lunga,estate,pioggia,21.3,primavera,21
poliestere,scuro,lunga,primavera_estate,nuvoloso,21.35,autunno,18
poliestere,colorato,lunga,autunno,soleggiato,11.5,primavera,24
poliestere,colorato,lunga,estate,soleggiato,18.3,autunno,21
poliestere,chiaro,lunga,autunno,pioggia,18.35,autunno,27
poliestere,scuro,lunga,estate,soleggiato,26.65,estate,13
poliestere,chiaro,lunga,primavera_estate,pioggia,11.05,autunno,23
cotone,chiaro,lunga,primavera_estate,nuvoloso,2.75,primavera,28
cotone,scuro,lunga,autunno,pioggia,29.4,estate,19
poliestere,scuro,corta,estate,pioggia,5.75,primavera,17
velluto,scuro,corta,all,pioggia,13.4,primavera,15
velluto,scuro,lunga,autunno_inverno,pioggia,8.7,autunno,28
poliestere,colorato,lunga,primavera_estate,soleggiato,5.0,primavera,28
velluto,scuro,lunga,all,soleggiato,14.65,autunno,23
poliestere,scuro,lunga,estate,pioggia,23.9,estate,23
poliestere,scuro,lunga,primavera_estate,soleggiato,8.95,autunno,24
poliestere,colorato,lunga,primavera_estate,soleggiato,8.35,autunno,24
poliestere,chiaro,lunga,primavera_estate,soleggiato,0.4499999999999997,inverno,24
poliestere,scuro,corta,estate,pioggia,18.85,estate,21
poliestere,scuro,lunga,autunno,nuvoloso,20.75,primavera,19
poliestere,colorato,lunga,estate,pioggia,12.85,inverno,22
poliestere,scuro,corta,estate,soleggiato,28.4,estate,19
poliestere,scuro,lunga,estate,pioggia,17.299999999999997,estate,27
poliestere,colorato,corta,estate,soleggiato,14.65,autunno,14
cotone,chiaro,corta,estate,pioggia,24.45,estate,26
poliestere,scuro,lunga,estate,pioggia,14.4,primavera,26
poliestere,colorato,corta,estate,soleggiato,23.05,primavera,21
poliestere,chiaro,lunga,primavera,pioggia,29.4,estate,16
cotone,scuro,lunga,primavera_estate,soleggiato,2.25,primavera,28
poliestere,scuro,lunga,estate,soleggiato,27.85,estate,13
poliestere,scuro,lunga,autunno,soleggiato,26.950000000000003,estate,9
poliestere,scuro,corta,estate,pioggia,25.5,autunno,18
poliestere,scuro,corta,estate,soleggiato,33.0,estate,20
poliestere,colorato,lunga,estate,soleggiato,6.15,primavera,27
cotone,colorato,lunga,primavera_estate,nuvoloso,5.9,inverno,24
cotone,chiaro,corta,estate,soleggiato,18.2,autunno,17
cotone,scuro,lunga,primavera_estate,pioggia,27.0,estate,22
cotone,chiaro,corta,autunno,soleggiato,24.45,estate,27
poliestere,chiaro,lunga,autunno,soleggiato,25.05,estate,19
cotone,scuro,lunga,estate,pioggia,5.65,autunno,23
poliestere,scuro,corta,estate,pioggia,3.4000000000000004,primavera,17
poliestere,colorato,corta,estate,soleggiato,20.7,autunno,17
cotone,scuro,corta,estate,soleggiato,30.85,estate,25
poliestere,scuro,lunga,primavera_estate,pioggia,5.5,inverno,24
poliestere,scuro,lunga,autunno,soleggiato,15.0,autunno,27
raso,scuro,lunga,estate,pioggia,8.9,autunno,17
poliestere,chiaro,lunga,estate,pioggia,31.1,estate,15
poliestere,colorato,lunga,autunno,pioggia,30.5,estate,11
cotone,colorato,lunga,autunno,pioggia,11.5,inverno,27
poliestere,chiaro,corta,estate,soleggiato,27.0,estate,29
poliestere,scuro,lunga,primavera_estate,pioggia,12.55,primavera,27
poliestere,colorato,lunga,estate,pioggia,16.2,estate,27
cotone,scuro,lunga,estate,pioggia,24.15,estate,26
poliestere,scuro,corta,estate,pioggia,9.0,primavera,17
poliestere,colorato,corta,estate,soleggiato,2.0,inverno,13
poliestere,colorato,lunga,estate,pioggia,8.45,primavera,27
poliestere,scuro,lunga,estate,soleggiato,20.15,autunno,12
poliestere,colorato,lunga,autunno,pioggia,16.75,autunno,27
poliestere,colorato,lunga,autunno,pioggia,15.1,primavera,23
poliestere,chiaro,lunga,autunno,pioggia,27.6,estate,14
poliestere,chiaro,lunga,autunno,pioggia,16.9,autunno,27
poliestere,scuro,lunga,autunno,pioggia,3.2,inverno,27
poliestere,scuro,corta,primavera_estate,soleggiato,25.0,estate,18
cotone,scuro,corta,estate,pioggia,23.6,autunno,20
cotone,scuro,corta,estate,soleggiato,1.0,primavera,17
poliestere,chiaro,lunga,primavera_estate,pioggia,3.45,autunno,24
poliestere,colorato,corta,primavera_estate,pioggia,8.15,primavera,18
poliestere,scuro,corta,estate,soleggiato,8.6,inverno,13
poliestere,colorato,lunga,estate,pioggia,21.3,estate,23
poliestere,scuro,lunga,autunno,pioggia,24.5,estate,19
poliestere,scuro,corta,estate,soleggiato,11.0,primavera,18
poliestere,colorato,corta,estate,neve,-4.25,inverno,13
poliestere,chiaro,corta,estate,soleggiato,29.15,estate,29
poliestere,chiaro,lunga,autunno,pioggia,15.65,primavera,23
poliestere,scuro,lunga,autunno,neve,-0.2999999999999998,inverno,27
poliestere,scuro,lunga,autunno,pioggia,20.3,primavera,19
poliestere,scuro,corta,estate,pioggia,16.65,primavera,19
poliestere,scuro,corta,estate,soleggiato,-2.25,inverno,13
poliestere,colorato,lunga,estate,pioggia,18.1,autunno,21
cotone,scuro,lunga,estate,pioggia,22.6,estate,26
cotone,scuro,corta,estate,nuvoloso,4.85,inverno,13
cotone,scuro,corta,estate,pioggia,18.9,autunno,17
cotone,scuro,lunga,estate,pioggia,4.95,autunno,23
poliestere,chiaro,corta,estate,pioggia,12.3,primavera,18
poliestere,colorato,lunga,autunno,soleggiato,8.3,inverno,27
poliestere,scuro,lunga,autunno,soleggiato,16.25,autunno,27
poliestere,scuro,lunga,autunno,pioggia,17.5,primavera,23
poliestere,colorato,lunga,estate,soleggiato,8.3,primavera,27
poliestere,scuro,lunga,estate,soleggiato,3.1,inverno,23
poliestere,colorato,lunga,autunno,soleggiato,11.4,primavera,24
cotone,colorato,lunga,estate,nuvoloso,22.3,primavera,24
poliestere,chiaro,corta,estate,soleggiato,35.05,estate,30
cotone,chiaro,corta,estate,pioggia,8.0,inverno,13
cotone,colorato,lunga,autunno,pioggia,12.6,inverno,27
poliestere,chiaro,lunga,estate,pioggia,32.35,estate,15
poliestere,scuro,lunga,estate,pioggia,25.4,estate,18
velluto,scuro,lunga,all,nuvoloso,1.65,inverno,27
cotone,colorato,lunga,estate,pioggia,14.7,autunno,23
poliestere,scuro,lunga,autunno,pioggia,21.65,estate,19
raso,scuro,corta,estate,soleggiato,35.95,estate,24
poliestere,scuro,corta,estate,pioggia,11.9,autunno,14
cotone,scuro,lunga,estate,pioggia,23.2,estate,26
poliestere,chiaro,lunga,autunno,pioggia,10.85,primavera,24
poliestere,chiaro,lunga,estate,pioggia,18.35,estate,27
poliestere,colorato,lunga,primavera_estate,soleggiato,28.35,estate,17
poliestere,colorato,corta,estate,neve,0.5,inverno,13
poliestere,colorato,corta,estate,soleggiato,1.5500000000000005,primavera,17
poliestere,chiaro,lunga,estate,soleggiato,17.3,autunno,21
poliestere,scuro,lunga,primavera_estate,nuvoloso,3.6,inverno,24
poliestere,scuro,corta,estate,soleggiato,28.9,estate,19
cotone,chiaro,lunga,primavera_estate,soleggiato,8.8,primavera,28
poliestere,colorato,lunga,primavera_estate,neve,0.4500000000000002,inverno,24
cotone,scuro,corta,estate,neve,1.3,primavera,17
poliestere,chiaro,corta,estate,neve,10.45,inverno,14
cotone,colorato,corta,estate,pioggia,25.55,autunno,23
poliestere,scuro,lunga,autunno,pioggia,9.4,primavera,25
poliestere,colorato,lunga,estate,pioggia,24.5,autunno,17
poliestere,scuro,lunga,primavera_estate,soleggiato,0.0,inverno,24
poliestere,colorato,lunga,autunno,pioggia,26.0,estate,14
poliestere,scuro,lunga,estate,soleggiato,33.25,estate,10
cotone,scuro,corta,estate,soleggiato,23.0,autunno,15
poliestere,chiaro,lunga,autunno,pioggia,13.15,inverno,26
poliestere,chiaro,lunga,autunno,soleggiato,9.05,primavera,25
poliestere,colorato,lunga,estate,neve,0.8999999999999999,primavera,27
cotone,colorato,lunga,autunno,soleggiato,33.7,estate,16
poliestere,colorato,corta,estate,soleggiato,34.4,estate,25
poliestere,colorato,lunga,primavera_estate,pioggia,32.75,estate,14
cotone,colorato,corta,estate,pioggia,21.75,primavera,24
poliestere,scuro,lunga,estate,soleggiato,10.75,inverno,22
poliestere,scuro,corta,estate,soleggiato,12.15,autunno,14
poliestere,colorato,corta,estate,soleggiato,25.65,autunno,18
poliestere,chiaro,corta,estate,neve,-0.25,inverno,13
poliestere,scuro,lunga,primavera_estate,nuvoloso,15.55,primavera,26
cotone,chiaro,lunga,estate,soleggiato,5.05,primavera,27
poliestere,scuro,lunga,primavera_estate,soleggiato,22.2,primavera,17
poliestere,scuro,lunga,primavera_estate,pioggia,14.65,autunno,23
poliestere,colorato,lunga,autunno,pioggia,17.25,autunno,27
poliestere,colorato,lunga,primavera_estate,pioggia,2.6,primavera,28
poliestere,scuro,lunga,estate,nuvoloso,9.55,primavera,27
cotone,colorato,lunga,estate,pioggia,12.15,autunno,23
poliestere,chiaro,lunga,primavera,soleggiato,28.3,estate,21
poliestere,chiaro,lunga,autunno,soleggiato,26.1,estate,19
poliestere,chiaro,lunga,estate,pioggia,19.1,autunno,21
cotone,scuro,corta,estate,pioggia,11.1,autunno,15
poliestere,colorato,lunga,autunno,soleggiato,17.4,autunno,27
poliestere,colorato,lunga,primavera_estate,pioggia,21.8,estate,22
poliestere,chiaro,lunga,autunno,pioggia,28.35,estate,14
cotone,scuro,lunga,autunno,soleggiato,25.15,autunno,18
poliestere,scuro,lunga,estate,soleggiato,1.85,inverno,23
poliestere,colorato,lunga,autunno,nuvoloso,15.2,primavera,23
cotone,scuro,corta,estate,nuvoloso,-5.45,inverno,13
cotone,scuro,lunga,primavera_estate,soleggiato,23.75,estate,20
poliestere,colorato,corta,estate,soleggiato,13.9,primavera,18
poliestere,scuro,lunga,primavera_estate,soleggiato,8.95,inverno,24
cotone,colorato,lunga,estate,neve,8.05,inverno,23
poliestere,colorato,lunga,primavera_estate,pioggia,19.05,autunno,22
raso,chiaro,lunga,estate,soleggiato,4.7,inverno,16
poliestere,colorato,lunga,estate,soleggiato,22.5,primavera,21
raso,scuro,corta,estate,pioggia,15.95,estate,17
cotone,chiaro,lunga,autunno,soleggiato,6.15,primavera,25
poliestere,colorato,lunga,primavera_estate,soleggiato,6.699999999999999,inverno,24
poliestere,colorato,lunga,primavera_estate,nuvoloso,19.45,primavera,26
cotone,scuro,lunga,autunno,soleggiato,15.25,primavera,25
velluto,scuro,lunga,autunno_inverno,pioggia,8.55,autunno,28
cotone,scuro,lunga,estate,soleggiato,3.6,inverno,23
cotone,chiaro,corta,estate,pioggia,6.85,primavera,17
cotone,chiaro,lunga,autunno,nuvoloso,5.25,inverno,27
cotone,scuro,lunga,primavera_estate,pioggia,30.65,estate,19
poliestere,colorato,lunga,autunno,nuvoloso,3.7,autunno,29
cotone,scuro,corta,estate,soleggiato,30.55,autunno,19
poliestere,scuro,lunga,estate,soleggiato,30.55,estate,10
poliestere,scuro,corta,estate,pioggia,29.3,estate,24
cotone,chiaro,corta,estate,pioggia,9.4,autunno,13
poliestere,colorato,lunga,autunno,soleggiato,-5.8,primavera,25
poliestere,colorato,lunga,estate,soleggiato,18.3,estate,27
poliestere,scuro,corta,estate,soleggiato,15.65,primavera,19
cotone,colorato,corta,estate,pioggia,8.649999999999999,autunno,13
poliestere,colorato,corta,estate,nuvoloso,22.9,autunno,17
poliestere,chiaro,corta,estate,soleggiato,16.65,autunno,15
poliestere,colorato,lunga,primavera,soleggiato,3.0,inverno,25
poliestere,colorato,lunga,autunno,pioggia,27.95,estate,14
poliestere,colorato,lunga,autunno,pioggia,-1.0500000000000005,autunno,29
poliestere,colorato,lunga,autunno,nuvoloso,2.6499999999999995,inverno,27
poliestere,chiaro,lunga,primavera_estate,neve,1.95,inverno,24
poliestere,colorato,corta,estate,soleggiato,13.15,autunno,14
poliestere,scuro,lunga,autunno,nuvoloso,2.2,inverno,27
poliestere,colorato,lunga,estate,soleggiato,20.8,primavera,21
poliestere,colorato,lunga,autunno,nuvoloso,6.5,primavera,25
poliestere,scuro,lunga,primavera_estate,pioggia,9.0,inverno,24
poliestere,scuro,lunga,estate,pioggia,26.75,autunno,12
raso,scuro,corta,all,pioggia,10.65,primavera,12
poliestere,colorato,lunga,estate,pioggia,17.0,primavera,25
poliestere,chiaro,lunga,estate,nuvoloso,19.6,autunno,21
poliestere,scuro,corta,estate,pioggia,13.65,inverno,14
poliestere,chiaro,lunga,autunno,nuvoloso,5.8500000000000005,primavera,25
cotone,chiaro,corta,estate,neve,-1.4,inverno,13
poliestere,colorato,lunga,estate,neve,3.9,inverno,23
poliestere,scuro,lunga,primavera_estate,pioggia,7.050000000000001,inverno,24
poliestere,scuro,lunga,estate,soleggiato,30.85,estate,10
raso,colorato,lunga,all,pioggia,22.45,autunno,19
poliestere,scuro,lunga,estate,soleggiato,14.35,autunno,22
poliestere,colorato,corta,estate,pioggia,6.3,primavera,17
cotone,scuro,lunga,autunno,soleggiato,28.65,estate,14
poliestere,chiaro,lunga,primavera_estate,pioggia,9.75,inverno,24
cotone,scuro,corta,estate,pioggia,13.45,estate,21
poliestere,colorato,lunga,estate,soleggiato,23.55,estate,23
poliestere,scuro,lunga,autunno,nuvoloso,14.2,autunno,28
raso,scuro,lunga,autunno,soleggiato,-2.5500000000000003,inverno,20
cotone,colorato,lunga,estate,soleggiato,24.25,primavera,24
poliestere,colorato,lunga,estate,nuvoloso,11.6,inverno,22
cotone,colorato,corta,estate,soleggiato,25.2,estate,29
poliestere,colorato,lunga,autunno,pioggia,21.2,estate,19
cotone,scuro,lunga,primavera_estate,pioggia,25.35,autunno,18
cotone,colorato,lunga,primavera_estate,nuvoloso,10.85,primavera,28
poliestere,colorato,lunga,autunno,soleggiato,18.9,autunno,27
poliestere,colorato,lunga,primavera_estate,pioggia,5.4,inverno,24
poliestere,colorato,lunga,estate,nuvoloso,27.2,estate,18
poliestere,scuro,lunga,estate,soleggiato,31.6,estate,10
poliestere,colorato,corta,estate,pioggia,14.25,primavera,18
poliestere,colorato,lunga,estate,soleggiato,-4.95,autunno,23
poliestere,scuro,lunga,primavera_estate,soleggiato,0.2999999999999998,primavera,28
poliestere,colorato,lunga,primavera,pioggia,30.7,estate,13
cotone,chiaro,corta,estate,pioggia,26.25,autunno,23
poliestere,colorato,lunga,primavera_estate,nuvoloso,-0.4000000000000001,inverno,24
poliestere,chiaro,lunga,primavera_estate,neve,-12.3,inverno,24
poliestere,chiaro,lunga,primavera_estate,soleggiato,19.3,autunno,22
poliestere,scuro,corta,estate,nuvoloso,15.75,primavera,19
raso,scuro,lunga,all,pioggia,25.9,estate,17
poliestere,colorato,lunga,autunno,soleggiato,4.45,inverno,27
cotone,colorato,corta,estate,pioggia,14.05,inverno,15
poliestere,colorato,lunga,autunno,pioggia,18.2,estate,23
poliestere,scuro,lunga,primavera_estate,soleggiato,0.3500000000000001,inverno,24
raso,chiaro,lunga,all,nuvoloso,19.25,autunno,20
poliestere,scuro,lunga,autunno,pioggia,9.9,inverno,27
poliestere,scuro,lunga,autunno_inverno,pioggia,7.5,autunno,28
cotone,colorato,lunga,autunno,soleggiato,12.75,primavera,25
cotone,colorato,corta,estate,soleggiato,6.65,inverno,13
poliestere,chiaro,lunga,estate,nuvoloso,11.7,primavera,26
cotone,colorato,lunga,estate,neve,3.35,primavera,27
raso,scuro,lunga,estate,pioggia,19.7,autunno,17
poliestere,colorato,lunga,autunno,soleggiato,21.6,autunno,23
poliestere,colorato,lunga,primavera_estate,pioggia,24.9,estate,22
poliestere,scuro,lunga,estate,soleggiato,25.700000000000003,estate,13
poliestere,scuro,corta,estate,soleggiato,35.5,estate,20
raso,scuro,lunga,primavera_estate,soleggiato,2.55,inverno,17
poliestere,scuro,corta,estate,nuvoloso,4.8,primavera,17
poliestere,scuro,lunga,estate,pioggia,17.4,autunno,21
cotone,chiaro,lunga,autunno,pioggia,24.3,autunno,26
cotone,scuro,lunga,primavera_estate,soleggiato,17.8,autunno,24
poliestere,scuro,lunga,primavera_estate,soleggiato,31.25,estate,9
poliestere,colorato,lunga,primavera_estate,soleggiato,3.65,primavera,28
poliestere,scuro,lunga,estate,pioggia,15.95,autunno,21
velluto,scuro,lunga,autunno_inverno,pioggia,25.2,estate,11
cotone,colorato,corta,estate,soleggiato,29.700000000000003,estate,29
poliestere,colorato,corta,estate,soleggiato,10.75,primavera,18
poliestere,colorato,lunga,estate,soleggiato,7.8,inverno,23
cotone,chiaro,corta,estate,pioggia,30.05,estate,30
poliestere,scuro,lunga,primavera_estate,pioggia,7.4,autunno,24
poliestere,scuro,lunga,estate,soleggiato,26.35,estate,13
poliestere,colorato,lunga,autunno,nuvoloso,7.5,inverno,27
poliestere,colorato,lunga,estate,soleggiato,11.0,autunno,22
poliestere,colorato,lunga,primavera,soleggiato,29.4,estate,16
poliestere,scuro,lunga,primavera_estate,pioggia,25.25,primavera,17
cotone,scuro,corta,estate,nuvoloso,32.4,estate,30
cotone,colorato,lunga,estate,pioggia,19.55,primavera,27
velluto,scuro,lunga,autunno_inverno,pioggia,12.65,autunno,25
poliestere,scuro,corta,estate,soleggiato,8.399999999999999,primavera,17
poliestere,colorato,lunga,primavera_estate,pioggia,24.0,primavera,22
raso,scuro,lunga,estate,soleggiato,25.5,estate,15
poliestere,scuro,corta,estate,nuvoloso,6.0,inverno,13
poliestere,scuro,corta,estate,pioggia,26.95,estate,24
poliestere,colorato,lunga,estate,soleggiato,1.5,primavera,27
cotone,colorato,lunga,autunno,pioggia,8.4,primavera,25
poliestere,chiaro,lunga,autunno,nuvoloso,12.55,autunno,28
cotone,scuro,lunga,estate,pioggia,5.1,inverno,23
poliestere,chiaro,lunga,estate,soleggiato,2.8,primavera,27
poliestere,colorato,lunga,autunno,pioggia,28.1,primavera,14
cotone,colorato,lunga,estate,soleggiato,28.3,estate,23
poliestere,scuro,corta,estate,pioggia,15.9,autunno,15
poliestere,scuro,lunga,primavera_estate,soleggiato,31.700000000000003,estate,9
cotone,colorato,lunga,estate,soleggiato,6.550000000000001,primavera,27
poliestere,scuro,lunga,autunno,pioggia,25.8,estate,14
poliestere,colorato,lunga,primavera_estate,neve,-5.25,inverno,24
poliestere,scuro,corta,estate,neve,-7.4,primavera,17
poliestere,colorato,lunga,estate,pioggia,9.75,autunno,23
poliestere,chiaro,lunga,estate,soleggiato,-0.3999999999999999,inverno,23
poliestere,scuro,lunga,autunno,nuvoloso,9.95,inverno,27
poliestere,scuro,corta,estate,nuvoloso,3.55,inverno,13
poliestere,colorato,lunga,estate,nuvoloso,7.75,primavera,27
cotone,scuro,lunga,primavera_estate,pioggia,3.9,primavera,28
poliestere,scuro,lunga,autunno,pioggia,29.1,estate,14
cotone,chiaro,lunga,autunno,pioggia,12.1,primavera,25
poliestere,colorato,lunga,estate,pioggia,9.7,autunno,23
poliestere,colorato,corta,estate,pioggia,5.9,primavera,17
poliestere,colorato,lunga,autunno,neve,0.1,inverno,27
cotone,scuro,lunga,autunno,pioggia,18.9,estate,25
cotone,scuro,corta,estate,soleggiato,5.3,inverno,13
poliestere,scuro,lunga,primavera_estate,pioggia,13.1,primavera,27
cotone,colorato,lunga,autunno,nuvoloso,19.0,primavera,25
poliestere,chiaro,lunga,primavera_estate,soleggiato,32.05,estate,19
poliestere,colorato,lunga,autunno,soleggiato,24.95,autunno,23
cotone,colorato,lunga,autunno,pioggia,9.0,inverno,27
poliestere,scuro,lunga,primavera_estate,neve,7.050000000000001,autunno,24
poliestere,colorato,lunga,estate,nuvoloso,9.45,primavera,27
poliestere,scuro,corta,estate,pioggia,28.200000000000003,estate,24
cotone,scuro,corta,estate,neve,2.05,inverno,13
poliestere,colorato,lunga,primavera_estate,pioggia,3.35,autunno,24
cotone,scuro,lunga,autunno,nuvoloso,12.95,primavera,25
cotone,chiaro,lunga,primavera_estate,pioggia,28.05,estate,22
cotone,chiaro,corta,estate,soleggiato,25.0,estate,34
poliestere,colorato,lunga,primavera_estate,pioggia,29.85,estate,17
poliestere,chiaro,lunga,estate,soleggiato,31.25,estate,20
poliestere,scuro,lunga,primavera_estate,nuvoloso,1.35,primavera,28
poliestere,scuro,lunga,autunno,pioggia,24.5,autunno,23
poliestere,scuro,lunga,autunno,soleggiato,14.75,autunno,28
poliestere,chiaro,lunga,autunno,neve,-1.0,inverno,27
cotone,scuro,corta,estate,soleggiato,5.8500000000000005,inverno,13
poliestere,colorato,lunga,estate,pioggia,20.200000000000003,primavera,21
cotone,scuro,corta,estate,pioggia,14.65,autunno,15
poliestere,colorato,lunga,estate,pioggia,4.8,inverno,23
poliestere,chiaro,lunga,primavera_estate,pioggia,16.6,autunno,22
cotone,scuro,corta,estate,neve,0.3,inverno,13
poliestere,colorato,lunga,estate,soleggiato,28.25,estate,18
cotone,scuro,lunga,autunno,nuvoloso,13.45,inverno,27
poliestere,scuro,lunga,primavera,soleggiato,22.85,primavera,18
cotone,scuro,lunga,autunno,pioggia,-0.55,inverno,27
poliestere,colorato,lunga,primavera_estate,soleggiato,30.8,estate,14
poliestere,scuro,lunga,autunno,pioggia,26.5,estate,14
poliestere,scuro,lunga,autunno,pioggia,4.25,inverno,27
poliestere,colorato,lunga,autunno,pioggia,21.65,autunno,23
raso,colorato,corta,estate,soleggiato,17.2,autunno,11
velluto,scuro,lunga,autunno_inverno,nuvoloso,20.25,primavera,15
cotone,scuro,lunga,primavera_estate,pioggia,18.9,autunno,24
cotone,scuro,lunga,autunno,soleggiato,19.8,autunno,29
cotone,chiaro,lunga,autunno,soleggiato,6.75,autunno,29
cotone,scuro,corta,estate,soleggiato,30.5,estate,25
cotone,scuro,lunga,primavera_estate,pioggia,12.05,inverno,24
poliestere,chiaro,lunga,autunno,pioggia,28.15,estate,14
poliestere,scuro,lunga,estate,soleggiato,1.7,primavera,27
cotone,chiaro,lunga,primavera_estate,soleggiato,1.9000000000000004,inverno,24
poliestere,chiaro,lunga,autunno,pioggia,32.349999999999994,estate,11
poliestere,colorato,lunga,autunno,neve,11.6,primavera,24
cotone,chiaro,lunga,autunno,nuvoloso,-7.2,inverno,27
cotone,chiaro,lunga,estate,neve,-7.899999999999999,primavera,27
poliestere,scuro,lunga,primavera_estate,soleggiato,19.9,primavera,26
cotone,scuro,corta,primavera_estate,soleggiato,23.35,autunno,16
poliestere,scuro,lunga,primavera_estate,soleggiato,5.0,inverno,24
poliestere,colorato,corta,estate,pioggia,16.7,autunno,15
poliestere,colorato,corta,estate,pioggia,9.35,primavera,17
cotone,colorato,corta,estate,soleggiato,20.55,autunno,20
poliestere,scuro,lunga,estate,pioggia,6.050000000000001,primavera,27
poliestere,chiaro,corta,estate,soleggiato,2.1,inverno,13
cotone,scuro,corta,estate,soleggiato,7.7,inverno,13
