Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione
scarpa classica,y,y,colorato,all,pioggia,10,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,29,estate
scarpa da ginnastica,y,n,colorato,all,soleggiato,1,inverno
scarpa da ginnastica,n,n,scuro,all,soleggiato,17,primavera
scarpa classica,y,y,scuro,autunno_inverno,soleggiato,6,primavera
scarpa da ginnastica,n,n,colorato,autunno_inverno,nuvoloso,8,inverno
scarpa da ginnastica,y,y,colorato,autunno_inverno,pioggia,19,autunno
scarpe aperte,n,n,colorato,primavera_estate,soleggiato,18,autunno
scarpa classica,y,y,colorato,autunno_inverno,soleggiato,8,inverno
scarpa classica,y,y,Chiaro,inverno,pioggia,0,inverno
scarpa da ginnastica,n,y,Chiaro,inverno,pioggia,8,autunno
scarpa da ginnastica,n,y,colorato,all,soleggiato,9,primavera
scarpa da ginnastica,n,n,Chiaro,primavera_estate,soleggiato,26,estate
scarpa da ginnastica,n,y,Chiaro,all,nuvoloso,2,primavera
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,-7,autunno
scarpa da ginnastica,n,y,scuro,estate,pioggia,18,estate
scarpa da ginnastica,n,y,scuro,autunno_inverno,pioggia,24,estate
scarpa classica,y,y,colorato,inverno,soleggiato,24,primavera
scarpa classica,n,y,Chiaro,autunno_inverno,soleggiato,27,estate
scarpe aperte,n,n,Chiaro,estate,pioggia,26,autunno
scarpa classica,n,y,colorato,all,soleggiato,6,inverno
scarpa classica,n,y,Chiaro,inverno,soleggiato,3,inverno
scarpe aperte,n,n,Chiaro,estate,pioggia,5,primavera
scarpe con tacchi,n,n,scuro,autunno_inverno,soleggiato,30,estate
scarpe aperte,n,n,Chiaro,estate,soleggiato,33,estate
anfibi,n,n,scuro,inverno,pioggia,15,primavera
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,3,inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,nuvoloso,9,inverno
scarpa da ginnastica,n,n,colorato,primavera_estate,soleggiato,31,estate
scarpa da ginnastica,n,n,scuro,autunno_inverno,soleggiato,27,primavera
scarpa da ginnastica,n,n,Chiaro,primavera_estate,neve,-3,primavera
scarpe aperte,n,n,colorato,primavera_estate,pioggia,15,estate
scarpa da ginnastica,n,y,colorato,autunno_inverno,soleggiato,3,inverno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,26,estate
scarpa classica,n,y,scuro,primavera_estate,pioggia,4,inverno
stivaletto alla caviglia,n,n,colorato,autunno_inverno,nuvoloso,4,inverno
stivaletto alla caviglia,y,n,scuro,inverno,pioggia,17,primavera
scarpa da ginnastica,y,n,scuro,all,nuvoloso,1,inverno
scarpa da ginnastica,y,y,Chiaro,all,pioggia,31,estate
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,0,inverno
scarpa da ginnastica,n,n,scuro,estate,nuvoloso,6,inverno
stivaletto alla caviglia,y,y,scuro,autunno_inverno,soleggiato,3,inverno
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,16,primavera
scarpa da ginnastica,y,n,Chiaro,estate,soleggiato,8,inverno
anfibi,n,y,colorato,inverno,soleggiato,18,primavera
scarpa da ginnastica,n,y,scuro,inverno,soleggiato,5,primavera
scarpa da ginnastica,y,n,Chiaro,all,pioggia,28,estate
scarpa classica,y,y,scuro,autunno_inverno,pioggia,13,inverno
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,10,autunno
scarpa classica,y,y,colorato,autunno_inverno,pioggia,24,estate
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,22,estate
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,33,estate
anfibi,y,y,Chiaro,autunno,pioggia,24,primavera
scarpa da ginnastica,y,y,colorato,inverno,pioggia,19,estate
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,14,inverno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,16,autunno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,soleggiato,23,primavera
scarpa da ginnastica,n,y,Chiaro,inverno,soleggiato,25,estate
scarpa da ginnastica,y,y,colorato,estate,pioggia,7,primavera
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,24,estate
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,-1,inverno
scarpa da ginnastica,y,n,Chiaro,inverno,soleggiato,15,autunno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,pioggia,18,estate
scarpa da ginnastica,y,y,scuro,estate,pioggia,22,estate
scarpe aperte,n,n,scuro,primavera,nuvoloso,15,autunno
scarpa da ginnastica,n,n,scuro,estate,pioggia,22,autunno
scarpa da ginnastica,y,y,Chiaro,estate,neve,3,inverno
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,22,autunno
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,13,autunno
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,17,autunno
stivaletto alla caviglia,n,n,scuro,autunno_inverno,pioggia,14,primavera
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,28,estate
scarpa da ginnastica,n,n,colorato,inverno,soleggiato,25,estate
scarpe aperte,n,n,Chiaro,primavera_estate,soleggiato,26,primavera
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,15,inverno
anfibi,y,y,Chiaro,autunno,pioggia,9,autunno
anfibi,y,y,Chiaro,autunno,pioggia,24,autunno
scarpa classica,n,y,scuro,primavera_estate,pioggia,25,autunno
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,20,autunno
scarpa da ginnastica,y,y,scuro,estate,pioggia,13,autunno
scarpa da ginnastica,y,n,colorato,estate,nuvoloso,10,inverno
scarpa da ginnastica,y,n,colorato,estate,pioggia,12,inverno
anfibi,n,y,colorato,inverno,soleggiato,21,autunno
scarpe con tacchi,n,n,scuro,estate,soleggiato,34,estate
scarpa classica,y,y,scuro,inverno,pioggia,22,estate
scarpa classica,n,y,Chiaro,inverno,soleggiato,5,inverno
scarpa da ginnastica,n,y,scuro,autunno_inverno,soleggiato,4,inverno
scarpa da ginnastica,n,y,Chiaro,primavera_estate,soleggiato,2,inverno
scarpe con tacchi,n,n,Chiaro,primavera_estate,soleggiato,18,primavera
scarpe con tacchi,n,n,scuro,primavera_estate,soleggiato,20,autunno
scarpe con tacchi,n,n,Chiaro,estate,pioggia,14,autunno
scarpe aperte,n,n,scuro,estate,soleggiato,3,primavera
scarpa da ginnastica,n,n,scuro,estate,soleggiato,20,autunno
scarpa da ginnastica,n,n,Chiaro,all,nuvoloso,2,primavera
scarpe aperte,n,n,Chiaro,primavera,neve,0,inverno
scarpa da ginnastica,y,y,colorato,inverno,pioggia,33,estate
scarpa da ginnastica,n,n,colorato,all,nuvoloso,3,primavera
scarpe aperte,n,n,colorato,estate,pioggia,30,estate
scarpe aperte,n,n,colorato,primavera,soleggiato,4,inverno
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,8,primavera
scarpa da ginnastica,n,y,scuro,autunno_inverno,pioggia,19,autunno
scarpa classica,y,y,colorato,autunno_inverno,soleggiato,21,autunno
scarpa classica,y,y,scuro,primavera_estate,soleggiato,33,estate
scarpa da ginnastica,y,n,Chiaro,estate,soleggiato,29,estate
scarpa da ginnastica,n,y,Chiaro,primavera_estate,pioggia,25,autunno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,23,estate
scarpa da ginnastica,n,y,Chiaro,inverno,pioggia,14,primavera
scarpe aperte,y,n,scuro,primavera,pioggia,8,autunno
scarpa da ginnastica,n,y,scuro,all,pioggia,21,estate
scarpa classica,y,n,colorato,all,neve,-2,inverno
scarpa da ginnastica,y,y,Chiaro,all,pioggia,15,primavera
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,14,primavera
scarpa da ginnastica,n,n,scuro,autunno_inverno,nuvoloso,10,autunno
stivaletto alla caviglia,y,n,scuro,inverno,pioggia,11,autunno
scarpe con tacchi,n,n,Chiaro,primavera_estate,soleggiato,15,primavera
scarpa classica,n,n,scuro,primavera_estate,soleggiato,10,inverno
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,30,estate
scarpa da ginnastica,y,y,Chiaro,all,pioggia,26,estate
scarpe con tacchi,y,n,colorato,inverno,nuvoloso,5,inverno
scarpa da ginnastica,y,y,scuro,autunno_inverno,nuvoloso,27,estate
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,23,estate
scarpe con tacchi,n,n,Chiaro,inverno,soleggiato,33,estate
stivaletto alla caviglia,n,y,colorato,autunno,nuvoloso,7,inverno
scarpe aperte,n,n,scuro,primavera,pioggia,12,inverno
scarpa classica,n,y,scuro,autunno_inverno,nuvoloso,1,inverno
anfibi,y,y,Chiaro,autunno,soleggiato,8,primavera
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,19,estate
scarpa da ginnastica,y,n,scuro,autunno_inverno,soleggiato,6,inverno
scarpa da ginnastica,n,y,Chiaro,all,soleggiato,25,autunno
stivaletto alla caviglia,y,y,colorato,autunno,soleggiato,-2,inverno
scarpa da ginnastica,y,y,scuro,all,pioggia,5,inverno
scarpe con tacchi,n,n,Chiaro,estate,soleggiato,5,inverno
scarpa da ginnastica,y,n,scuro,primavera_estate,pioggia,27,estate
scarpa da ginnastica,y,y,scuro,estate,pioggia,8,primavera
scarpe con tacchi,n,n,scuro,estate,soleggiato,4,inverno
scarpa da ginnastica,y,y,scuro,estate,pioggia,26,estate
scarpa da ginnastica,y,y,colorato,autunno_inverno,nuvoloso,20,primavera
scarpa da ginnastica,y,y,scuro,estate,pioggia,20,autunno
scarpa classica,y,n,scuro,autunno_inverno,soleggiato,8,primavera
scarpa da ginnastica,y,y,colorato,all,pioggia,20,primavera
scarpa classica,n,y,colorato,inverno,pioggia,26,estate
scarpa classica,n,n,Chiaro,autunno_inverno,pioggia,13,inverno
anfibi,n,y,Chiaro,inverno,pioggia,26,autunno
scarpa da ginnastica,y,n,Chiaro,primavera_estate,soleggiato,10,primavera
scarpa classica,n,y,scuro,primavera_estate,soleggiato,15,autunno
scarpa classica,n,y,colorato,primavera_estate,soleggiato,27,estate
scarpa da ginnastica,y,n,scuro,inverno,pioggia,16,autunno
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,24,primavera
scarpa da ginnastica,n,n,colorato,primavera_estate,pioggia,10,primavera
stivaletto alla caviglia,n,n,colorato,autunno,pioggia,15,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,1,inverno
stivaletto alla caviglia,y,n,scuro,inverno,pioggia,7,autunno
stivaletto alla caviglia,y,n,scuro,inverno,nuvoloso,14,autunno
scarpa da ginnastica,n,y,scuro,autunno_inverno,soleggiato,22,autunno
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,24,estate
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,12,autunno
scarpa da ginnastica,y,n,colorato,estate,soleggiato,31,estate
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,26,estate
scarpa classica,n,n,colorato,autunno_inverno,pioggia,14,autunno
scarpa classica,n,y,scuro,primavera_estate,pioggia,12,inverno
scarpa da ginnastica,y,n,scuro,all,pioggia,16,autunno
scarpe con tacchi,n,n,colorato,primavera_estate,neve,2,inverno
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,nuvoloso,2,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,24,estate
scarpa classica,n,n,colorato,primavera_estate,pioggia,27,estate
scarpa da ginnastica,y,y,Chiaro,primavera_estate,soleggiato,14,autunno
scarpa classica,n,y,colorato,all,pioggia,15,inverno
scarpa classica,n,y,colorato,inverno,soleggiato,15,autunno
scarpa classica,n,y,scuro,inverno,pioggia,30,estate
scarpa classica,n,y,scuro,all,soleggiato,9,primavera
scarpa da ginnastica,n,y,scuro,all,soleggiato,27,estate
scarpa da ginnastica,n,y,colorato,primavera_estate,soleggiato,2,autunno
scarpa classica,y,y,Chiaro,inverno,pioggia,3,inverno
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,21,autunno
scarpa da ginnastica,n,n,Chiaro,all,pioggia,27,autunno
scarpe con tacchi,n,n,Chiaro,autunno_inverno,pioggia,3,inverno
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,30,estate
scarpe aperte,n,n,scuro,estate,soleggiato,19,autunno
scarpe aperte,n,n,colorato,primavera_estate,soleggiato,8,primavera
scarpa da ginnastica,y,y,Chiaro,estate,pioggia,8,primavera
stivaletto alla caviglia,n,n,scuro,autunno,soleggiato,28,estate
scarpa da ginnastica,n,y,colorato,inverno,soleggiato,28,estate
scarpa da ginnastica,n,n,Chiaro,estate,nuvoloso,5,primavera
scarpa da ginnastica,n,y,scuro,inverno,nuvoloso,13,inverno
scarpa da ginnastica,y,y,scuro,all,pioggia,31,estate
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,18,estate
scarpa classica,n,y,scuro,all,pioggia,18,estate
stivaletto alla caviglia,y,y,Chiaro,inverno,soleggiato,2,inverno
stivaletto alla caviglia,y,y,scuro,autunno_inverno,soleggiato,10,primavera
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,20,primavera
scarpa da ginnastica,y,n,scuro,estate,pioggia,13,primavera
scarpa da ginnastica,n,y,scuro,all,soleggiato,28,estate
scarpa da ginnastica,n,y,scuro,primavera_estate,soleggiato,5,inverno
scarpa da ginnastica,y,y,colorato,estate,pioggia,24,primavera
scarpa da ginnastica,y,y,scuro,autunno_inverno,neve,-6,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,29,estate
stivaletto alla caviglia,n,n,scuro,inverno,soleggiato,15,inverno
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,14,estate
stivaletto alla caviglia,n,n,Chiaro,inverno,soleggiato,31,estate
stivaletto alla caviglia,n,n,colorato,autunno_inverno,soleggiato,10,primavera
stivaletto alla caviglia,n,n,Chiaro,inverno,soleggiato,28,estate
stivaletto alla caviglia,n,n,Chiaro,inverno,nuvoloso,27,estate
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,21,autunno
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,25,primavera
stivaletto alla caviglia,y,y,colorato,autunno_inverno,nuvoloso,22,primavera
stivaletto alla caviglia,y,y,colorato,autunno,soleggiato,14,autunno
stivaletto alla caviglia,n,n,scuro,autunno,nuvoloso,17,autunno
stivaletto alla caviglia,y,n,scuro,autunno,nuvoloso,11,autunno
scarpa da ginnastica,y,y,colorato,estate,pioggia,9,primavera
scarpa da ginnastica,y,y,Chiaro,inverno,soleggiato,27,estate
scarpa classica,y,y,scuro,inverno,pioggia,18,primavera
scarpe aperte,y,n,colorato,estate,soleggiato,30,estate
scarpe aperte,y,n,colorato,primavera,soleggiato,26,estate
scarpa da ginnastica,y,n,colorato,estate,pioggia,8,inverno
scarpa da ginnastica,y,y,scuro,estate,soleggiato,3,primavera
scarpe aperte,y,n,scuro,primavera,pioggia,15,estate
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,pioggia,17,autunno
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,14,primavera
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,6,inverno
scarpa da ginnastica,n,y,scuro,autunno_inverno,pioggia,8,inverno
scarpa da ginnastica,n,n,scuro,inverno,pioggia,12,primavera
stivaletto alla caviglia,y,n,scuro,autunno,soleggiato,4,inverno
scarpa classica,y,y,scuro,autunno_inverno,soleggiato,31,estate
stivaletto alla caviglia,y,y,Chiaro,autunno,pioggia,21,autunno
scarpe aperte,n,n,Chiaro,estate,pioggia,10,inverno
scarpa da ginnastica,y,n,Chiaro,estate,pioggia,29,estate
scarpe aperte,y,n,Chiaro,primavera_estate,soleggiato,19,autunno
scarpe aperte,y,n,scuro,primavera,neve,-5,inverno
scarpa da ginnastica,y,n,colorato,inverno,pioggia,28,estate
scarpa da ginnastica,y,n,Chiaro,estate,soleggiato,21,autunno
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,13,autunno
scarpa classica,n,y,colorato,autunno_inverno,pioggia,25,estate
scarpa classica,y,y,scuro,autunno_inverno,soleggiato,2,primavera
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,9,autunno
scarpa da ginnastica,y,n,Chiaro,inverno,nuvoloso,5,inverno
scarpe aperte,n,n,colorato,estate,soleggiato,13,inverno
scarpe aperte,n,n,colorato,estate,soleggiato,18,autunno
scarpe con tacchi,n,n,Chiaro,estate,soleggiato,0,inverno
scarpa da ginnastica,y,n,colorato,inverno,soleggiato,6,inverno
scarpa classica,y,n,scuro,primavera_estate,pioggia,24,estate
scarpa da ginnastica,y,n,colorato,all,soleggiato,27,estate
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,16,estate
scarpa classica,n,n,colorato,autunno_inverno,soleggiato,13,primavera
stivaletto alla caviglia,y,y,scuro,inverno,neve,-3,inverno
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,6,inverno
scarpa da ginnastica,y,y,colorato,all,nuvoloso,29,estate
stivaletto alla caviglia,n,y,scuro,autunno_inverno,neve,1,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,21,primavera
stivaletto alla caviglia,y,y,Chiaro,inverno,pioggia,6,inverno
scarpa classica,y,y,colorato,primavera_estate,soleggiato,16,autunno
scarpa classica,y,y,Chiaro,primavera_estate,pioggia,8,inverno
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,25,estate
scarpe aperte,n,n,colorato,primavera,pioggia,24,autunno
scarpe aperte,n,n,scuro,estate,soleggiato,-1,primavera
scarpa classica,y,y,Chiaro,autunno_inverno,soleggiato,22,autunno
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,26,estate
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,18,autunno
scarpa classica,y,y,Chiaro,autunno_inverno,pioggia,16,primavera
scarpe aperte,y,n,scuro,primavera,pioggia,2,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,12,estate
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,11,primavera
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,18,autunno
scarpa da ginnastica,n,y,colorato,autunno_inverno,soleggiato,4,inverno
scarpa da ginnastica,y,y,colorato,autunno_inverno,soleggiato,8,autunno
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,15,autunno
scarpe aperte,y,n,Chiaro,estate,pioggia,23,estate
scarpe aperte,y,n,scuro,estate,soleggiato,15,primavera
scarpe aperte,y,n,colorato,primavera,pioggia,5,inverno
scarpe aperte,y,n,Chiaro,primavera_estate,pioggia,29,estate
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,16,primavera
scarpe aperte,y,n,Chiaro,primavera,soleggiato,2,inverno
scarpe con tacchi,y,n,colorato,estate,nuvoloso,11,primavera
stivaletto alla caviglia,y,y,Chiaro,autunno,pioggia,9,primavera
stivaletto alla caviglia,y,y,Chiaro,autunno,pioggia,3,inverno
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,17,autunno
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,4,primavera
anfibi,n,y,colorato,autunno,soleggiato,9,primavera
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,9,autunno
stivaletto alla caviglia,n,n,scuro,inverno,nuvoloso,25,autunno
scarpa da ginnastica,n,n,colorato,inverno,pioggia,13,autunno
scarpa da ginnastica,y,n,scuro,inverno,pioggia,23,autunno
scarpe aperte,n,n,scuro,estate,pioggia,14,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno,pioggia,2,inverno
scarpa da ginnastica,y,n,scuro,primavera_estate,nuvoloso,3,inverno
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,11,primavera
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,27,autunno
stivaletto alla caviglia,y,n,Chiaro,inverno,pioggia,27,estate
scarpa classica,y,y,scuro,autunno_inverno,soleggiato,21,autunno
stivaletto alla caviglia,y,n,scuro,inverno,nuvoloso,9,primavera
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,soleggiato,5,inverno
scarpa classica,y,y,Chiaro,autunno_inverno,pioggia,10,autunno
scarpa da ginnastica,n,y,Chiaro,primavera_estate,nuvoloso,13,autunno
scarpa da ginnastica,n,y,colorato,autunno_inverno,soleggiato,30,estate
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,16,autunno
stivaletto alla caviglia,y,n,Chiaro,autunno_inverno,soleggiato,20,autunno
scarpe aperte,n,n,scuro,estate,pioggia,30,estate
scarpe aperte,n,n,Chiaro,primavera,soleggiato,35,estate
stivaletto alla caviglia,n,y,Chiaro,inverno,pioggia,6,inverno
stivaletto alla caviglia,y,y,colorato,autunno,soleggiato,11,primavera
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,20,autunno
stivaletto alla caviglia,y,n,scuro,autunno_inverno,soleggiato,24,estate
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,25,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,14,inverno
stivaletto alla caviglia,y,n,colorato,autunno,pioggia,19,primavera
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,26,estate
stivaletto alla caviglia,y,n,scuro,autunno_inverno,pioggia,17,autunno
scarpa classica,n,y,scuro,autunno_inverno,neve,-3,inverno
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,8,inverno
stivaletto alla caviglia,n,n,colorato,inverno,neve,3,primavera
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,1,primavera
stivaletto alla caviglia,y,y,scuro,autunno_inverno,soleggiato,25,estate
stivaletto alla caviglia,n,n,Chiaro,inverno,soleggiato,15,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,28,estate
scarpa classica,n,y,scuro,autunno_inverno,pioggia,14,primavera
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,18,autunno
scarpa classica,n,n,colorato,inverno,pioggia,33,estate
stivaletto alla caviglia,y,n,Chiaro,autunno,pioggia,20,autunno
scarpa classica,y,y,colorato,primavera_estate,soleggiato,2,primavera
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,1,inverno
scarpe con tacchi,y,n,scuro,estate,soleggiato,4,primavera
scarpe aperte,y,n,Chiaro,estate,nuvoloso,28,estate
scarpe aperte,y,n,scuro,estate,pioggia,24,estate
scarpe aperte,n,n,scuro,estate,soleggiato,2,inverno
scarpe aperte,y,n,scuro,primavera_estate,pioggia,14,primavera
scarpe con tacchi,y,n,Chiaro,estate,nuvoloso,17,autunno
scarpa classica,n,y,colorato,autunno_inverno,soleggiato,2,primavera
scarpa classica,n,y,colorato,inverno,nuvoloso,4,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,nuvoloso,7,primavera
stivaletto alla caviglia,n,y,scuro,autunno,nuvoloso,-1,inverno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,3,inverno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,pioggia,5,inverno
scarpe aperte,y,n,Chiaro,primavera_estate,pioggia,23,estate
scarpe con tacchi,y,n,colorato,primavera_estate,soleggiato,4,primavera
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,9,primavera
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,28,estate
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,4,inverno
scarpa da ginnastica,n,y,scuro,all,nuvoloso,3,primavera
scarpa da ginnastica,y,y,colorato,all,soleggiato,22,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,28,estate
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,15,autunno
anfibi,n,y,scuro,autunno,pioggia,6,inverno
scarpa da ginnastica,n,y,scuro,primavera_estate,soleggiato,14,autunno
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,7,primavera
scarpe con tacchi,n,n,colorato,inverno,pioggia,5,inverno
scarpe aperte,n,n,Chiaro,primavera_estate,soleggiato,29,estate
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,20,autunno
scarpe con tacchi,n,n,colorato,inverno,pioggia,25,estate
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,24,estate
scarpe aperte,y,n,colorato,primavera,soleggiato,30,estate
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,pioggia,10,autunno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,7,primavera
stivaletto alla caviglia,n,n,Chiaro,inverno,nuvoloso,3,inverno
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,17,autunno
scarpa da ginnastica,y,y,Chiaro,inverno,soleggiato,25,estate
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,29,estate
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,8,primavera
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,15,autunno
scarpa classica,n,y,Chiaro,inverno,soleggiato,9,inverno
scarpe aperte,y,n,scuro,primavera_estate,soleggiato,27,estate
scarpe aperte,y,n,Chiaro,estate,soleggiato,20,autunno
scarpa classica,n,y,scuro,all,pioggia,5,inverno
scarpa classica,n,y,Chiaro,inverno,pioggia,25,estate
scarpa classica,y,y,colorato,inverno,pioggia,25,estate
scarpa classica,n,y,Chiaro,primavera_estate,nuvoloso,19,primavera
scarpa classica,n,y,scuro,autunno_inverno,pioggia,4,inverno
stivaletto alla caviglia,n,n,scuro,inverno,nuvoloso,1,inverno
stivaletto alla caviglia,y,n,Chiaro,autunno,soleggiato,16,primavera
scarpa da ginnastica,n,n,Chiaro,inverno,soleggiato,28,estate
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,neve,6,inverno
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,31,estate
stivaletto alla caviglia,y,y,scuro,inverno,pioggia,30,estate
scarpa da ginnastica,y,n,colorato,estate,nuvoloso,4,inverno
scarpa da ginnastica,y,y,scuro,primavera_estate,pioggia,22,estate
stivaletto alla caviglia,n,n,Chiaro,inverno,pioggia,27,primavera
scarpa classica,n,n,colorato,autunno_inverno,soleggiato,26,estate
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,pioggia,27,estate
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,18,autunno
scarpa da ginnastica,y,y,scuro,primavera_estate,soleggiato,19,autunno
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,34,estate
stivaletto alla caviglia,n,y,scuro,inverno,nuvoloso,15,primavera
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,3,primavera
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,3,inverno
scarpa classica,n,y,Chiaro,primavera_estate,pioggia,9,autunno
stivaletto alla caviglia,n,n,scuro,autunno_inverno,soleggiato,16,primavera
scarpa da ginnastica,y,y,Chiaro,estate,soleggiato,17,autunno
scarpa classica,n,y,scuro,autunno_inverno,pioggia,13,primavera
scarpa classica,n,y,colorato,inverno,soleggiato,26,estate
scarpa classica,n,y,scuro,all,pioggia,14,primavera
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,-6,inverno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,29,primavera
scarpe con tacchi,n,n,Chiaro,autunno_inverno,soleggiato,13,autunno
scarpe con tacchi,n,n,scuro,estate,soleggiato,28,estate
stivaletto alla caviglia,n,n,colorato,inverno,pioggia,22,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,1,primavera
stivaletto alla caviglia,n,n,colorato,inverno,pioggia,16,primavera
scarpe con tacchi,n,n,scuro,inverno,pioggia,13,primavera
