time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
2022-02-05,soleggiato,6,inverno,febbraio
2022-06-04,pioggia,24,estate,giugno
2022-07-11,soleggiato,27,estate,luglio
2022-07-06,pioggia,16,estate,luglio
2022-04-29,soleggiato,13,primavera,aprile
2022-12-02,neve,-3,inverno,dicembre
2022-01-08,pioggia,6,inverno,gennaio
2022-06-15,nuvoloso,29,estate,giugno
2022-02-06,neve,1,inverno,febbraio
2022-05-13,soleggiato,21,primavera,maggio
2022-01-28,pioggia,6,inverno,gennaio
2022-10-14,soleggiato,16,autunno,ottobre
2022-12-12,pioggia,8,inverno,dicembre
2022-06-22,soleggiato,25,estate,giugno
2022-09-07,pioggia,24,autunno,settembre
2022-03-12,soleggiato,-1,primavera,marzo
2022-10-07,soleggiato,22,autunno,ottobre
2022-06-24,pioggia,26,estate,giugno
2022-10-16,pioggia,18,autunno,ottobre
2022-05-07,pioggia,16,primavera,maggio
2022-12-16,pioggia,2,inverno,dicembre
2022-08-13,pioggia,12,estate,agosto
2022-04-23,pioggia,11,primavera,aprile
2022-10-02,soleggiato,18,autunno,ottobre
2022-02-11,soleggiato,4,inverno,febbraio
2022-11-20,soleggiato,8,autunno,novembre
2022-09-08,pioggia,15,autunno,settembre
2022-04-05,pioggia,6,primavera,aprile
2022-06-15,pioggia,23,estate,giugno
2022-04-16,soleggiato,15,primavera,aprile
2022-12-09,pioggia,5,inverno,dicembre
2022-06-25,pioggia,29,estate,giugno
2022-04-15,soleggiato,16,primavera,aprile
2022-01-29,soleggiato,2,inverno,gennaio
2022-04-20,nuvoloso,11,primavera,aprile
2022-05-02,pioggia,9,primavera,maggio
2022-01-11,pioggia,3,inverno,gennaio
2022-11-24,pioggia,17,autunno,novembre
2022-04-28,pioggia,4,primavera,aprile
2022-03-16,soleggiato,9,primavera,marzo
2022-11-05,soleggiato,9,autunno,novembre
2022-09-15,nuvoloso,25,autunno,settembre
2022-09-02,pioggia,13,autunno,settembre
2022-09-30,pioggia,23,autunno,settembre
2022-05-06,pioggia,14,primavera,maggio
2022-02-27,pioggia,2,inverno,febbraio
2022-12-16,nuvoloso,3,inverno,dicembre
2022-05-31,pioggia,11,primavera,maggio
2022-09-04,pioggia,27,autunno,settembre
2022-08-04,pioggia,27,estate,agosto
2022-10-08,soleggiato,21,autunno,ottobre
2022-03-29,nuvoloso,9,primavera,marzo
2022-01-19,soleggiato,5,inverno,gennaio
2022-11-13,pioggia,10,autunno,novembre
2022-09-18,nuvoloso,13,autunno,settembre
2022-08-01,soleggiato,30,estate,agosto
2022-09-23,soleggiato,16,autunno,settembre
2022-11-01,soleggiato,20,autunno,novembre
2022-07-01,pioggia,30,estate,luglio
2022-07-04,soleggiato,35,estate,luglio
2022-12-22,pioggia,6,inverno,dicembre
2022-03-27,soleggiato,11,primavera,marzo
2022-09-28,pioggia,20,autunno,settembre
2022-07-09,soleggiato,24,estate,luglio
2022-09-13,soleggiato,25,autunno,settembre
2022-12-12,pioggia,14,inverno,dicembre
2022-05-28,pioggia,19,primavera,maggio
2022-08-20,soleggiato,26,estate,agosto
2022-10-01,pioggia,17,autunno,ottobre
2022-02-15,neve,-3,inverno,febbraio
2022-12-05,pioggia,8,inverno,dicembre
2022-04-02,neve,3,primavera,aprile
2022-03-29,pioggia,1,primavera,marzo
2022-08-28,pioggia,27,estate,agosto
2022-06-18,soleggiato,25,estate,giugno
2022-10-31,soleggiato,15,autunno,ottobre
2022-06-02,soleggiato,28,estate,giugno
2022-05-29,pioggia,14,primavera,maggio
2022-10-30,soleggiato,18,autunno,ottobre
2022-08-06,pioggia,33,estate,agosto
2022-09-17,pioggia,20,autunno,settembre
2022-03-01,soleggiato,2,primavera,marzo
2022-01-16,soleggiato,1,inverno,gennaio
2022-08-25,soleggiato,29,estate,agosto
2022-03-13,soleggiato,4,primavera,marzo
2022-08-29,nuvoloso,28,estate,agosto
2022-06-13,pioggia,24,estate,giugno
2022-01-15,soleggiato,2,inverno,gennaio
2022-05-01,pioggia,14,primavera,maggio
2022-10-15,nuvoloso,17,autunno,ottobre
2022-03-01,soleggiato,2,primavera,marzo
2022-01-03,nuvoloso,4,inverno,gennaio
2022-04-25,nuvoloso,7,primavera,aprile
2022-12-13,nuvoloso,-1,inverno,dicembre
2022-02-18,pioggia,3,inverno,febbraio
2022-01-05,pioggia,5,inverno,gennaio
2022-08-31,pioggia,22,estate,agosto
2022-08-19,pioggia,23,estate,agosto
2022-03-03,soleggiato,4,primavera,marzo
2022-03-26,soleggiato,9,primavera,marzo
2022-07-20,soleggiato,28,estate,luglio
2022-02-10,soleggiato,4,inverno,febbraio
2022-03-16,nuvoloso,3,primavera,marzo
2022-05-19,soleggiato,22,primavera,maggio
2022-07-15,pioggia,28,estate,luglio
2022-09-21,soleggiato,15,autunno,settembre
2022-12-03,pioggia,6,inverno,dicembre
2022-11-07,soleggiato,14,autunno,novembre
2022-04-07,pioggia,7,primavera,aprile
2022-12-02,pioggia,5,inverno,dicembre
2022-06-16,soleggiato,29,estate,giugno
2022-09-20,soleggiato,20,autunno,settembre
2022-08-10,pioggia,25,estate,agosto
2022-07-31,soleggiato,24,estate,luglio
2022-06-26,soleggiato,30,estate,giugno
2022-11-16,pioggia,10,autunno,novembre
2022-03-21,pioggia,7,primavera,marzo
2022-01-03,nuvoloso,3,inverno,gennaio
2022-10-14,soleggiato,17,autunno,ottobre
2022-07-09,soleggiato,25,estate,luglio
2022-08-21,pioggia,29,estate,agosto
2022-05-08,pioggia,8,primavera,maggio
2022-09-21,soleggiato,15,autunno,settembre
2022-02-10,soleggiato,9,inverno,febbraio
2022-07-03,soleggiato,27,estate,luglio
2022-10-29,soleggiato,20,autunno,ottobre
2022-12-09,pioggia,5,inverno,dicembre
2022-06-29,pioggia,25,estate,giugno
2022-08-13,pioggia,25,estate,agosto
2022-05-10,nuvoloso,19,primavera,maggio
2022-02-26,pioggia,4,inverno,febbraio
2022-01-23,nuvoloso,1,inverno,gennaio
2022-05-02,soleggiato,16,primavera,maggio
2022-06-30,soleggiato,28,estate,giugno
2022-01-04,neve,6,inverno,gennaio
2022-07-22,soleggiato,31,estate,luglio
2022-07-05,pioggia,30,estate,luglio
2022-02-03,nuvoloso,4,inverno,febbraio
2022-06-06,pioggia,22,estate,giugno
2022-05-23,pioggia,27,primavera,maggio
2022-08-22,soleggiato,26,estate,agosto
2022-08-20,pioggia,27,estate,agosto
2022-10-15,soleggiato,18,autunno,ottobre
2022-10-07,soleggiato,19,autunno,ottobre
2022-07-24,soleggiato,34,estate,luglio
2022-05-03,nuvoloso,15,primavera,maggio
2022-03-05,pioggia,3,primavera,marzo
2022-01-14,soleggiato,3,inverno,gennaio
2022-11-26,pioggia,9,autunno,novembre
2022-04-27,soleggiato,16,primavera,aprile
2022-10-04,soleggiato,17,autunno,ottobre
2022-10-01,pioggia,12,autunno,ottobre
2022-04-25,pioggia,13,primavera,aprile
2022-06-02,soleggiato,26,estate,giugno
2022-05-18,pioggia,14,primavera,maggio
2022-01-17,soleggiato,-6,inverno,gennaio
2022-05-27,pioggia,29,primavera,maggio
2022-09-19,soleggiato,13,autunno,settembre
2022-06-19,soleggiato,28,estate,giugno
2022-05-29,pioggia,22,primavera,maggio
2022-03-06,soleggiato,1,primavera,marzo
2022-05-03,pioggia,16,primavera,maggio
2022-05-06,pioggia,13,primavera,maggio
2022-03-08,neve,-3,primavera,marzo
2022-01-05,neve,5,inverno,gennaio
2022-11-07,soleggiato,18,autunno,novembre
2022-06-29,pioggia,28,estate,giugno
2022-10-26,soleggiato,15,autunno,ottobre
2022-05-12,pioggia,19,primavera,maggio
2022-07-17,soleggiato,27,estate,luglio
2022-07-22,soleggiato,33,estate,luglio
2022-05-06,pioggia,17,primavera,maggio
2022-03-19,soleggiato,7,primavera,marzo
2022-04-21,pioggia,17,primavera,aprile
2022-04-19,soleggiato,11,primavera,aprile
2022-07-05,soleggiato,25,estate,luglio
2022-01-18,soleggiato,8,inverno,gennaio
2022-09-19,soleggiato,26,autunno,settembre
2022-10-04,pioggia,8,autunno,ottobre
2022-08-25,pioggia,26,estate,agosto
2022-08-02,soleggiato,29,estate,agosto
2022-04-03,pioggia,6,primavera,aprile
2022-11-26,nuvoloso,6,autunno,novembre
2022-06-08,pioggia,18,estate,giugno
2022-02-17,pioggia,3,inverno,febbraio
2022-06-28,pioggia,26,estate,giugno
2022-05-22,soleggiato,26,primavera,maggio
2022-02-27,soleggiato,-8,inverno,febbraio
2022-12-09,pioggia,14,inverno,dicembre
2022-03-03,pioggia,6,primavera,marzo
2022-03-06,soleggiato,2,primavera,marzo
2022-12-14,nuvoloso,0,inverno,dicembre
2022-01-19,soleggiato,0,inverno,gennaio
2022-02-18,soleggiato,12,inverno,febbraio
2022-03-24,soleggiato,10,primavera,marzo
2022-02-21,neve,-3,inverno,febbraio
2022-09-07,pioggia,27,autunno,settembre
2022-03-25,soleggiato,9,primavera,marzo
2022-10-31,soleggiato,15,autunno,ottobre
2022-08-20,soleggiato,27,estate,agosto
2022-08-30,pioggia,28,estate,agosto
2022-10-02,pioggia,20,autunno,ottobre
2022-10-12,pioggia,15,autunno,ottobre
2022-10-19,soleggiato,16,autunno,ottobre
2022-09-22,soleggiato,16,autunno,settembre
2022-12-10,pioggia,12,inverno,dicembre
2022-02-19,nuvoloso,10,inverno,febbraio
2022-01-31,nuvoloso,10,inverno,gennaio
2022-06-23,pioggia,30,estate,giugno
2022-02-05,soleggiato,-3,inverno,febbraio
2022-02-06,pioggia,3,inverno,febbraio
2022-06-09,pioggia,21,estate,giugno
2022-01-01,soleggiato,2,inverno,gennaio
2022-04-06,pioggia,7,primavera,aprile
2022-09-30,pioggia,14,autunno,settembre
2022-10-11,soleggiato,21,autunno,ottobre
2022-08-28,pioggia,28,estate,agosto
2022-06-26,soleggiato,28,estate,giugno
2022-07-15,soleggiato,30,estate,luglio
2022-12-24,nuvoloso,6,inverno,dicembre
2022-06-04,pioggia,26,estate,giugno
2022-12-16,pioggia,16,inverno,dicembre
2022-11-13,neve,9,autunno,novembre
2022-11-26,nuvoloso,7,autunno,novembre
2022-10-08,pioggia,17,autunno,ottobre
2022-07-31,soleggiato,30,estate,luglio
2022-10-13,pioggia,12,autunno,ottobre
2022-10-18,soleggiato,16,autunno,ottobre
2022-04-20,pioggia,1,primavera,aprile
2022-03-04,pioggia,4,primavera,marzo
2022-01-04,pioggia,3,inverno,gennaio
2022-08-25,soleggiato,26,estate,agosto
2022-06-19,soleggiato,28,estate,giugno
2022-07-06,pioggia,25,estate,luglio
2022-07-10,soleggiato,25,estate,luglio
2022-08-23,nuvoloso,28,estate,agosto
2022-11-19,nuvoloso,2,autunno,novembre
2022-05-01,pioggia,16,primavera,maggio
2022-07-16,soleggiato,31,estate,luglio
2022-05-06,pioggia,14,primavera,maggio
2022-06-15,soleggiato,27,estate,giugno
2022-04-05,soleggiato,8,primavera,aprile
2022-06-30,soleggiato,28,estate,giugno
2022-02-15,pioggia,4,inverno,febbraio
2022-01-31,pioggia,6,inverno,gennaio
2022-01-22,pioggia,1,inverno,gennaio
2022-03-20,neve,-1,primavera,marzo
2022-02-01,soleggiato,3,inverno,febbraio
2022-01-17,nuvoloso,8,inverno,gennaio
2022-08-11,soleggiato,25,estate,agosto
2022-08-16,pioggia,30,estate,agosto
2022-01-16,soleggiato,2,inverno,gennaio
2022-01-25,nuvoloso,3,inverno,gennaio
2022-10-10,soleggiato,15,autunno,ottobre
2022-11-21,pioggia,6,autunno,novembre
2022-11-09,neve,10,autunno,novembre
2022-05-22,soleggiato,23,primavera,maggio
2022-06-24,soleggiato,31,estate,giugno
2022-06-07,pioggia,23,estate,giugno
2022-06-19,soleggiato,29,estate,giugno
2022-11-16,pioggia,15,autunno,novembre
2022-07-30,pioggia,27,estate,luglio
2022-03-26,soleggiato,11,primavera,marzo
2022-08-17,pioggia,31,estate,agosto
2022-03-20,pioggia,8,primavera,marzo
2022-02-18,pioggia,6,inverno,febbraio
2022-06-29,soleggiato,33,estate,giugno
2022-12-23,pioggia,13,inverno,dicembre
2022-02-23,soleggiato,7,inverno,febbraio
2022-10-08,nuvoloso,23,autunno,ottobre
2022-07-01,pioggia,28,estate,luglio
2022-09-06,soleggiato,27,autunno,settembre
2022-01-15,soleggiato,6,inverno,gennaio
2022-09-28,pioggia,14,autunno,settembre
2022-09-26,pioggia,18,autunno,settembre
2022-06-03,pioggia,22,estate,giugno
2022-03-26,pioggia,13,primavera,marzo
2022-03-27,pioggia,11,primavera,marzo
2022-04-14,soleggiato,14,primavera,aprile
2022-01-24,soleggiato,3,inverno,gennaio
2022-12-25,pioggia,5,inverno,dicembre
2022-11-04,pioggia,18,autunno,novembre
2022-10-23,soleggiato,21,autunno,ottobre
2022-09-03,pioggia,23,autunno,settembre
2022-05-21,soleggiato,20,primavera,maggio
2022-07-19,soleggiato,30,estate,luglio
2022-12-20,pioggia,9,inverno,dicembre
2022-01-07,soleggiato,0,inverno,gennaio
2022-05-14,soleggiato,20,primavera,maggio
2022-10-28,soleggiato,22,autunno,ottobre
2022-04-14,soleggiato,14,primavera,aprile
2022-07-27,soleggiato,35,estate,luglio
2022-01-17,soleggiato,5,inverno,gennaio
2022-08-05,pioggia,32,estate,agosto
2022-06-04,nuvoloso,28,estate,giugno
2022-08-18,pioggia,28,estate,agosto
2022-06-10,soleggiato,23,estate,giugno
2022-04-13,soleggiato,12,primavera,aprile
2022-07-03,pioggia,21,estate,luglio
2022-08-11,pioggia,24,estate,agosto
2022-09-23,soleggiato,15,autunno,settembre
2022-09-16,pioggia,24,autunno,settembre
2022-10-05,soleggiato,19,autunno,ottobre
2022-08-08,soleggiato,31,estate,agosto
2022-11-21,pioggia,4,autunno,novembre
2022-10-12,pioggia,9,autunno,ottobre
2022-12-16,pioggia,6,inverno,dicembre
2022-05-19,pioggia,13,primavera,maggio
2022-08-15,soleggiato,21,estate,agosto
2022-06-10,pioggia,19,estate,giugno
2022-08-03,soleggiato,31,estate,agosto
2022-08-16,pioggia,28,estate,agosto
2022-12-03,pioggia,12,inverno,dicembre
2022-08-22,pioggia,27,estate,agosto
2022-07-29,soleggiato,31,estate,luglio
2022-07-08,soleggiato,25,estate,luglio
2022-12-06,soleggiato,3,inverno,dicembre
2022-01-31,nuvoloso,3,inverno,gennaio
2022-06-10,soleggiato,24,estate,giugno
2022-05-09,pioggia,18,primavera,maggio
2022-06-11,soleggiato,24,estate,giugno
2022-07-28,pioggia,31,estate,luglio
2022-06-05,pioggia,28,estate,giugno
2022-10-06,soleggiato,18,autunno,ottobre
2022-03-31,neve,0,primavera,marzo
2022-05-25,soleggiato,24,primavera,maggio
2022-09-06,pioggia,15,autunno,settembre
2022-06-09,pioggia,10,estate,giugno
2022-08-19,pioggia,28,estate,agosto
2022-05-14,pioggia,12,primavera,maggio
2022-03-27,pioggia,6,primavera,marzo
2022-09-21,pioggia,28,autunno,settembre
2022-09-11,pioggia,25,autunno,settembre
2022-09-24,soleggiato,16,autunno,settembre
2022-06-16,soleggiato,30,estate,giugno
2022-04-28,soleggiato,14,primavera,aprile
2022-05-08,pioggia,18,primavera,maggio
2022-02-24,soleggiato,8,inverno,febbraio
2022-10-17,soleggiato,20,autunno,ottobre
2022-12-09,pioggia,14,inverno,dicembre
2022-06-18,soleggiato,18,estate,giugno
2022-09-06,pioggia,29,autunno,settembre
2022-07-08,pioggia,24,estate,luglio
2022-07-12,pioggia,28,estate,luglio
2022-10-10,pioggia,15,autunno,ottobre
2022-02-08,soleggiato,2,inverno,febbraio
2022-04-12,soleggiato,10,primavera,aprile
2022-09-19,pioggia,19,autunno,settembre
2022-10-21,nuvoloso,13,autunno,ottobre
2022-09-18,soleggiato,15,autunno,settembre
2022-03-18,soleggiato,8,primavera,marzo
2022-04-21,pioggia,9,primavera,aprile
2022-09-12,soleggiato,19,autunno,settembre
2022-11-09,soleggiato,15,autunno,novembre
2022-10-12,pioggia,15,autunno,ottobre
2022-11-15,pioggia,14,autunno,novembre
2022-10-11,pioggia,19,autunno,ottobre
2022-01-21,pioggia,0,inverno,gennaio
2022-03-22,soleggiato,2,primavera,marzo
2022-08-18,soleggiato,31,estate,agosto
2022-07-23,soleggiato,31,estate,luglio
2022-09-07,pioggia,30,autunno,settembre
2022-05-19,soleggiato,21,primavera,maggio
2022-04-30,pioggia,5,primavera,aprile
2022-10-02,soleggiato,20,autunno,ottobre
2022-01-02,pioggia,10,inverno,gennaio
2022-10-28,soleggiato,20,autunno,ottobre
2022-11-18,pioggia,10,autunno,novembre
2022-12-18,soleggiato,-4,inverno,dicembre
2022-03-18,soleggiato,7,primavera,marzo
2022-01-23,soleggiato,6,inverno,gennaio
2022-11-10,nuvoloso,9,autunno,novembre
2022-09-08,pioggia,27,autunno,settembre
2022-06-24,pioggia,17,estate,giugno
2022-02-06,nuvoloso,2,inverno,febbraio
2022-05-15,soleggiato,22,primavera,maggio
2022-10-17,soleggiato,20,autunno,ottobre
2022-05-01,pioggia,11,primavera,maggio
2022-06-26,soleggiato,31,estate,giugno
2022-10-17,soleggiato,19,autunno,ottobre
2022-04-18,soleggiato,10,primavera,aprile
2022-11-08,soleggiato,10,autunno,novembre
2022-11-05,soleggiato,2,autunno,novembre
2022-10-02,soleggiato,15,autunno,ottobre
2022-04-27,pioggia,10,primavera,aprile
2022-05-27,pioggia,23,primavera,maggio
2022-11-03,pioggia,15,autunno,novembre
2022-10-18,soleggiato,18,autunno,ottobre
2022-04-26,pioggia,14,primavera,aprile
2022-04-28,soleggiato,13,primavera,aprile
2022-03-18,soleggiato,7,primavera,marzo
2022-09-21,soleggiato,16,autunno,settembre
2022-10-20,soleggiato,20,autunno,ottobre
2022-10-15,nuvoloso,18,autunno,ottobre
2022-08-29,soleggiato,28,estate,agosto
2022-09-16,pioggia,24,autunno,settembre
2022-10-14,soleggiato,18,autunno,ottobre
2022-07-26,pioggia,30,estate,luglio
2022-05-21,soleggiato,21,primavera,maggio
2022-04-11,soleggiato,-2,primavera,aprile
2022-02-03,soleggiato,6,inverno,febbraio
2022-09-19,soleggiato,14,autunno,settembre
2022-02-17,soleggiato,7,inverno,febbraio
2022-05-17,pioggia,20,primavera,maggio
2022-06-06,pioggia,22,estate,giugno
2022-08-31,pioggia,26,estate,agosto
2022-05-04,pioggia,11,primavera,maggio
2022-01-26,nuvoloso,1,inverno,gennaio
2022-08-25,soleggiato,27,estate,agosto
2022-06-25,soleggiato,27,estate,giugno
2022-01-09,pioggia,9,inverno,gennaio
2022-02-23,soleggiato,7,inverno,febbraio
2022-09-18,soleggiato,14,autunno,settembre
2022-12-01,nuvoloso,3,inverno,dicembre
2022-07-03,soleggiato,32,estate,luglio
2022-04-12,pioggia,8,primavera,aprile
2022-05-29,pioggia,15,primavera,maggio
2022-06-01,soleggiato,25,estate,giugno
2022-09-08,pioggia,28,autunno,settembre
2022-06-22,soleggiato,29,estate,giugno
2022-05-22,nuvoloso,26,primavera,maggio
2022-03-11,nuvoloso,5,primavera,marzo
2022-01-05,soleggiato,7,inverno,gennaio
2022-05-04,soleggiato,16,primavera,maggio
2022-05-05,pioggia,15,primavera,maggio
2022-09-26,pioggia,15,autunno,settembre
2022-03-17,nuvoloso,7,primavera,marzo
2022-07-16,soleggiato,31,estate,luglio
2022-02-20,nuvoloso,11,inverno,febbraio
2022-10-12,soleggiato,17,autunno,ottobre
2022-06-08,pioggia,12,estate,giugno
2022-10-31,soleggiato,16,autunno,ottobre
2022-06-01,pioggia,23,estate,giugno
2022-03-27,pioggia,15,primavera,marzo
2022-08-04,soleggiato,30,estate,agosto
2022-07-13,nuvoloso,24,estate,luglio
2022-09-26,pioggia,8,autunno,settembre
2022-10-29,soleggiato,20,autunno,ottobre
2022-02-01,pioggia,8,inverno,febbraio
2022-11-02,nuvoloso,20,autunno,novembre
2022-07-21,soleggiato,32,estate,luglio
2022-10-23,soleggiato,22,autunno,ottobre
2022-04-25,pioggia,9,primavera,aprile
2022-01-01,pioggia,7,inverno,gennaio
2022-11-30,nuvoloso,4,autunno,novembre
2022-03-01,pioggia,1,primavera,marzo
2022-02-23,soleggiato,1,inverno,febbraio
2022-09-01,pioggia,26,autunno,settembre
2022-11-27,soleggiato,6,autunno,novembre
2022-02-05,nuvoloso,12,inverno,febbraio
2022-09-19,soleggiato,17,autunno,settembre
2022-08-15,pioggia,16,estate,agosto
2022-10-16,nuvoloso,20,autunno,ottobre
2022-09-14,pioggia,27,autunno,settembre
2022-10-03,soleggiato,19,autunno,ottobre
2022-11-08,nuvoloso,9,autunno,novembre
2022-03-08,nuvoloso,2,primavera,marzo
2022-02-02,soleggiato,9,inverno,febbraio
2022-05-24,soleggiato,22,primavera,maggio
2022-08-22,pioggia,23,estate,agosto
2022-07-04,soleggiato,32,estate,luglio
2022-08-25,soleggiato,28,estate,agosto
2022-08-13,pioggia,23,estate,agosto
2022-02-05,pioggia,3,inverno,febbraio
2022-11-14,neve,3,autunno,novembre
2022-01-06,neve,2,inverno,gennaio
2022-02-04,nuvoloso,5,inverno,febbraio
2022-06-10,soleggiato,22,estate,giugno
2022-05-30,nuvoloso,12,primavera,maggio
2022-05-30,soleggiato,25,primavera,maggio
2022-11-01,nuvoloso,14,autunno,novembre
2022-09-15,pioggia,22,autunno,settembre
2022-06-23,pioggia,29,estate,giugno
2022-01-31,nuvoloso,0,inverno,gennaio
2022-01-20,pioggia,2,inverno,gennaio
2022-10-31,soleggiato,10,autunno,ottobre
2022-05-07,pioggia,14,primavera,maggio
2022-08-19,soleggiato,33,estate,agosto
2022-03-11,nuvoloso,4,primavera,marzo
2022-04-13,soleggiato,13,primavera,aprile
2022-09-02,soleggiato,25,autunno,settembre
2022-05-03,pioggia,16,primavera,maggio
2022-01-28,nuvoloso,1,inverno,gennaio
2022-11-02,pioggia,16,autunno,novembre
2022-02-14,nuvoloso,1,inverno,febbraio
2022-02-20,nuvoloso,12,inverno,febbraio
2022-10-20,soleggiato,14,autunno,ottobre
2022-07-19,soleggiato,31,estate,luglio
2022-10-15,nuvoloso,19,autunno,ottobre
2022-03-17,nuvoloso,9,primavera,marzo
2022-10-19,soleggiato,21,autunno,ottobre
2022-08-14,soleggiato,25,estate,agosto
2022-09-09,pioggia,36,autunno,settembre
2022-11-19,pioggia,8,autunno,novembre
2022-04-05,soleggiato,9,primavera,aprile
2022-11-02,soleggiato,19,autunno,novembre
2022-07-22,soleggiato,33,estate,luglio
2022-10-16,soleggiato,19,autunno,ottobre
2022-01-25,soleggiato,1,inverno,gennaio
2022-10-30,soleggiato,18,autunno,ottobre
2022-06-30,pioggia,20,estate,giugno
2022-07-07,pioggia,31,estate,luglio
2022-11-10,pioggia,13,autunno,novembre
2022-01-23,soleggiato,2,inverno,gennaio
2022-10-09,pioggia,22,autunno,ottobre
2022-10-08,soleggiato,19,autunno,ottobre
2022-05-01,soleggiato,14,primavera,maggio
2022-09-20,soleggiato,17,autunno,settembre
2022-06-03,pioggia,23,estate,giugno
2022-05-16,pioggia,21,primavera,maggio
2022-11-13,pioggia,13,autunno,novembre
2022-04-21,pioggia,15,primavera,aprile
2022-10-20,pioggia,14,autunno,ottobre
2022-05-04,nuvoloso,14,primavera,maggio
2022-08-02,pioggia,28,estate,agosto
2022-09-04,pioggia,26,autunno,settembre
2022-08-27,soleggiato,28,estate,agosto
2022-03-21,soleggiato,3,primavera,marzo
2022-08-27,pioggia,28,estate,agosto
2022-08-15,pioggia,29,estate,agosto
2022-09-20,soleggiato,22,autunno,settembre
2022-05-26,pioggia,26,primavera,maggio
2022-11-28,nuvoloso,4,autunno,novembre
2022-01-26,soleggiato,4,inverno,gennaio
2022-06-25,soleggiato,28,estate,giugno
2022-12-22,nuvoloso,-2,inverno,dicembre
2022-08-17,pioggia,25,estate,agosto
2022-11-17,pioggia,10,autunno,novembre
2022-06-05,pioggia,25,estate,giugno
2022-03-24,soleggiato,10,primavera,marzo
2022-07-04,pioggia,26,estate,luglio
2022-09-08,nuvoloso,28,autunno,settembre
2022-01-31,nuvoloso,1,inverno,gennaio
2022-04-15,pioggia,6,primavera,aprile
2022-04-08,soleggiato,15,primavera,aprile
2022-10-28,soleggiato,17,autunno,ottobre
2022-03-15,pioggia,5,primavera,marzo
2022-06-02,pioggia,14,estate,giugno
2022-04-14,soleggiato,13,primavera,aprile
2022-07-21,soleggiato,28,estate,luglio
2022-11-23,pioggia,15,autunno,novembre
2022-11-05,pioggia,15,autunno,novembre
2022-05-08,pioggia,13,primavera,maggio
2022-03-29,soleggiato,11,primavera,marzo
2022-04-03,neve,0,primavera,aprile
2022-03-13,pioggia,2,primavera,marzo
2022-05-04,pioggia,18,primavera,maggio
2022-07-13,soleggiato,26,estate,luglio
2022-07-24,pioggia,28,estate,luglio
2022-09-23,nuvoloso,12,autunno,settembre
2022-09-15,pioggia,27,autunno,settembre
2022-10-24,soleggiato,20,autunno,ottobre
2022-04-08,pioggia,9,primavera,aprile
2022-04-06,pioggia,7,primavera,aprile
2022-11-28,nuvoloso,9,autunno,novembre
2022-11-29,pioggia,9,autunno,novembre
2022-12-17,pioggia,6,inverno,dicembre
2022-11-22,pioggia,6,autunno,novembre
2022-10-30,soleggiato,17,autunno,ottobre
2022-07-30,soleggiato,29,estate,luglio
2022-07-25,pioggia,34,estate,luglio
2022-07-11,pioggia,21,estate,luglio
2022-09-13,nuvoloso,23,autunno,settembre
2022-05-28,pioggia,20,primavera,maggio
2022-12-11,neve,0,inverno,dicembre
2022-09-15,pioggia,27,autunno,settembre
2022-03-23,soleggiato,9,primavera,marzo
2022-09-03,pioggia,24,autunno,settembre
2022-11-25,nuvoloso,7,autunno,novembre
2022-10-21,soleggiato,19,autunno,ottobre
2022-03-28,pioggia,6,primavera,marzo
2022-04-17,pioggia,14,primavera,aprile
2022-01-23,neve,-3,inverno,gennaio
2022-06-02,soleggiato,26,estate,giugno
2022-07-14,soleggiato,28,estate,luglio
2022-11-28,nuvoloso,4,autunno,novembre
2022-06-23,pioggia,29,estate,giugno
2022-03-12,pioggia,10,primavera,marzo
2022-08-09,pioggia,28,estate,agosto
2022-05-20,pioggia,19,primavera,maggio
2022-02-27,pioggia,5,inverno,febbraio
2022-09-09,pioggia,26,autunno,settembre
2022-06-20,pioggia,28,estate,giugno
2022-09-02,soleggiato,20,autunno,settembre
2022-11-04,pioggia,15,autunno,novembre
2022-01-22,soleggiato,2,inverno,gennaio
2022-09-18,pioggia,11,autunno,settembre
2022-06-20,pioggia,28,estate,giugno
2022-10-23,pioggia,21,autunno,ottobre
2022-09-21,pioggia,4,autunno,settembre
2022-11-21,pioggia,16,autunno,novembre
2022-07-26,pioggia,34,estate,luglio
2022-01-22,pioggia,-1,inverno,gennaio
2022-03-16,nuvoloso,11,primavera,marzo
2022-02-26,neve,5,inverno,febbraio
2022-11-22,pioggia,6,autunno,novembre
2022-03-16,soleggiato,10,primavera,marzo
2022-08-08,pioggia,27,estate,agosto
2022-09-29,pioggia,19,autunno,settembre
2022-08-18,pioggia,32,estate,agosto
2022-03-29,nuvoloso,11,primavera,marzo
2022-11-09,nuvoloso,8,autunno,novembre
2022-04-14,soleggiato,16,primavera,aprile
2022-02-24,soleggiato,6,inverno,febbraio
2022-12-25,soleggiato,17,inverno,dicembre
2022-06-21,soleggiato,30,estate,giugno
2022-12-02,pioggia,10,inverno,dicembre
2022-06-30,soleggiato,31,estate,giugno
2022-08-09,pioggia,17,estate,agosto
2022-05-21,soleggiato,17,primavera,maggio
2022-02-04,soleggiato,3,inverno,febbraio
2022-03-15,nuvoloso,8,primavera,marzo
2022-03-20,soleggiato,5,primavera,marzo
2022-10-29,soleggiato,17,autunno,ottobre
2022-12-25,soleggiato,14,inverno,dicembre
2022-06-06,soleggiato,25,estate,giugno
